Testing SD card write operations: 1970-01-01 02:00:04
2022-05-30 08:08:10: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-79}
2022-05-30 08:08:12: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-78}
2022-05-30 08:08:15: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-81}
2022-05-30 08:08:17: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-81}
2022-05-30 08:08:32: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-88}
2022-05-30 08:08:34: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:08:43: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-76}
2022-05-30 08:08:46: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-78}
2022-05-30 08:08:50: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-79}
2022-05-30 08:08:54: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-84}
2022-05-30 08:08:59: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-90}
2022-05-30 08:09:04: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:09:18: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-82}
2022-05-30 08:09:21: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-85}
2022-05-30 08:09:23: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-81}
2022-05-30 08:09:27: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-81}
2022-05-30 08:09:29: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:09:30: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-84}
2022-05-30 08:09:34: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:09:36: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-84}
2022-05-30 08:09:43: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-84}
2022-05-30 08:09:49: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:09:52: {'ssid':'T211', 'bssid':'250ea39f8a0888dcacc89b4667a32dbcf50288b8965226a6bc0e4ed6bd5999b6', 'sec':4, 'channel':6, 'rssi':-93}
2022-05-30 08:09:54: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-85}
2022-05-30 08:10:00: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-85}
2022-05-30 08:10:04: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-81}
2022-05-30 08:10:05: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:10:14: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:10:18: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-80}
2022-05-30 08:10:20: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-90}
2022-05-30 08:10:22: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-82}
2022-05-30 08:10:29: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-81}
