Testing SD card write operations: 2022-05-30 08:04:00
2022-05-30 08:04:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5275350eff40f48a111068ca504b94850303ed1e48b131d02901610d2a7905f0', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:42: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9358f3b519a1e81c4dbec7809f88a3110c9cdfb2680238bf1c3da2adf1aab2e9', 'rssi': -85, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:42: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9358f3b519a1e81c4dbec7809f88a3110c9cdfb2680238bf1c3da2adf1aab2e9', 'rssi': -82, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '949b1f11977fbc0d3ac4e8856ef8770640f8df7420ac7742a7ccc1712f119d07', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:44: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '7cae8e1c71d1198602fd4a251813807ac90e36de455f9037558c72a01fefe9cf', 'rssi': -72, 'name': 'Tb25\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -13, 'adv_tx_pwr': 3}
2022-05-30 08:04:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9c705233f35f2abcceaf9fe812ef713bc7dc81df54b402ed94b6f95179f57e1', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-30 08:04:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '75831eb2cf2a686d732e6c0955f958c0bd65b40b55483ae4ce1ee4aa1a391414', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-30 08:04:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd8a93077ebc50b2394f6ba73fc2d0c399f73abee7da05e7074158ca364c373a1', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-30 08:04:47: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '5b91684d70a0fecf0a5179858c78b5dd18f62d060352bfaf42befae416737349', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:48: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '46eda9ffcf9d80d64fe5c3cdd79cd7475ffd331d117ff29aac1c57c97db72f4c', 'rssi': -88, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
