Testing SD card write operations: 2022-06-26 11:46:39
2022-06-26 11:47:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b146ee26d1c0d78d1584feae78a5ca41c264891b0ebfdcd07dcbca48866c5fc2', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8001ac2da7d5cc04c8d927d2ea37cab8b64df86fdecb2c4d76f1d9b2eb659cc0', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f3ccc95e49e131255a56c9798a069b864f36f5aca9e324e6bd598520cc13ab8', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '22bafd0c5755641435a36118d89935f5aa7e923b0ae6a11b7484d571ad42d4f1', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '42899ca2144687c4074ce3af96dad056f0ee46d24514e19f3769210dfba5ab92', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:47:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '42899ca2144687c4074ce3af96dad056f0ee46d24514e19f3769210dfba5ab92', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
