Testing SD card write operations: 2022-06-26 11:46:23
2022-06-26 11:49:12: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-22}
2022-06-26 11:49:14: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:16: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-26 11:49:16: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-56}
2022-06-26 11:49:18: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:18: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-54}
2022-06-26 11:49:20: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:49:22: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:23: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:49:25: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:49:27: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:29: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-24}
2022-06-26 11:49:29: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-55}
