Testing SD card write operations: 2022-05-20 21:03:46
2022-05-20 21:11:30: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-87}
2022-05-20 21:11:35: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-95}
2022-05-20 21:11:37: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-94}
2022-05-20 21:11:50: {'ssid':'M13', 'bssid':'8c84705e9d33d95f26884b67aa96b9c0a7b68829e3748f8a14c2ef01', 'sec':4, 'channel':11, 'rssi':-87}
2022-05-20 21:11:50: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-88}
2022-05-20 21:11:50: {'ssid':'M15', 'bssid':'8967f8a0de8a010e9479841f980d6daea152e90c1a8eb6d5384b14c9', 'sec':5, 'channel':11, 'rssi':-89}
2022-05-20 21:11:52: {'ssid':'M15', 'bssid':'8967f8a0de8a010e9479841f980d6daea152e90c1a8eb6d5384b14c9', 'sec':5, 'channel':11, 'rssi':-91}
2022-05-20 21:11:52: {'ssid':'M13', 'bssid':'8c84705e9d33d95f26884b67aa96b9c0a7b68829e3748f8a14c2ef01', 'sec':4, 'channel':11, 'rssi':-92}
2022-05-20 21:11:52: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-93}
2022-05-20 21:11:57: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-84}
2022-05-20 21:11:57: {'ssid':'M15', 'bssid':'8967f8a0de8a010e9479841f980d6daea152e90c1a8eb6d5384b14c9', 'sec':5, 'channel':11, 'rssi':-85}
2022-05-20 21:11:57: {'ssid':'M13', 'bssid':'8c84705e9d33d95f26884b67aa96b9c0a7b68829e3748f8a14c2ef01', 'sec':4, 'channel':11, 'rssi':-85}
2022-05-20 21:11:59: {'ssid':'M15', 'bssid':'8967f8a0de8a010e9479841f980d6daea152e90c1a8eb6d5384b14c9', 'sec':5, 'channel':11, 'rssi':-85}
2022-05-20 21:11:59: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-86}
