Testing SD card write operations: 2022-03-30 09:54:20
2022-03-30 09:55:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'73e78951027f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:18: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'ef634c1cb3a0', 'rssi': -67, 'name': 'Move 62', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:55:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:22: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'ef634c1cb3a0', 'rssi': -70, 'name': 'Move 62', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:55:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6ee1a952adce', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6ee1a952adce', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
