Testing SD card write operations: 2022-06-26 07:30:23
2022-06-26 07:31:53: {'Acceleration': '(0.07556152, 0.1143799, 0.9915771)', 'Roll': '-4.357709', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.561214'}
2022-06-26 07:31:54: {'Acceleration': '(0.05358887, 0.1225586, 0.9714355)', 'Roll': '-3.157499', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.179778'}
2022-06-26 07:31:55: {'Acceleration': '(0.06896973, 0.1230469, 1.032471)', 'Roll': '-3.821718', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.781318'}
2022-06-26 07:31:56: {'Acceleration': '(0.05236816, 0.130127, 0.9916992)', 'Roll': '-3.022782', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.46514'}
2022-06-26 07:31:56: {'Acceleration': '(0.04833984, 0.1165771, 0.9847412)', 'Roll': '-3.776813', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.001945'}
2022-06-26 07:31:57: {'Acceleration': '(0.07788086, 0.1409912, 1.002441)', 'Roll': '-3.706627', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-7.380907'}
2022-06-26 07:31:58: {'Acceleration': '(0.04968262, 0.1357422, 0.973999)', 'Roll': '-4.645426', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.568613'}
2022-06-26 07:31:59: {'Acceleration': '(0.07348633, 0.140625, 0.9803467)', 'Roll': '-4.286847', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.606904'}
2022-06-26 07:32:00: {'Acceleration': '(0.06274414, 0.12854, 0.9802246)', 'Roll': '-3.662504', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.69579'}
2022-06-26 07:32:01: {'Acceleration': '(0.05957031, 0.1279297, 0.9926758)', 'Roll': '-3.434192', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.330392'}
2022-06-26 07:32:01: {'Acceleration': '(0.06286621, 0.1489258, 0.979248)', 'Roll': '-3.67326', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-8.629885'}
2022-06-26 07:32:02: {'Acceleration': '(0.07971191, 0.1270752, 0.9884033)', 'Roll': '-4.610763', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.302656'}
2022-06-26 07:32:03: {'Acceleration': '(0.0892334, 0.1195068, 1.002686)', 'Roll': '-5.085605', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-6.770327'}
2022-06-26 07:32:04: {'Acceleration': '(0.05786133, 0.1242676, 0.9880371)', 'Roll': '-3.348632', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.885999'}
2022-06-26 07:32:05: {'Acceleration': '(0.06176758, 0.1477051, 1.028442)', 'Roll': '-2.474669', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.495992'}
2022-06-26 07:32:06: {'Acceleration': '(0.04602051, 0.1192627, 1.009521)', 'Roll': '-2.627874', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.711474'}
2022-06-26 07:32:07: {'Acceleration': '(0.03833008, 0.1181641, 1.00708)', 'Roll': '-2.17966', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-8.267949'}
2022-06-26 07:32:07: {'Acceleration': '(0.06408691, 0.1226807, 1.051025)', 'Roll': '-2.41441', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.196168'}
2022-06-26 07:32:08: {'Acceleration': '(0.02368164, 0.1229248, 1.011841)', 'Roll': '-1.340735', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.568099'}
2022-06-26 07:32:09: {'Acceleration': '(0.06103516, 0.1245117, 0.9910889)', 'Roll': '-3.524049', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-7.147223'}
2022-06-26 07:32:10: {'Acceleration': '(0.05529785, 0.1383057, 0.9866943)', 'Roll': '-3.207703', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.501248'}
2022-06-26 07:32:11: {'Acceleration': '(0.03796387, 0.1040039, 1.044189)', 'Roll': '-2.0822', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.684313'}
2022-06-26 07:32:12: {'Acceleration': '(0.01757813, 0.09313965, 0.9958496)', 'Roll': '-1.011245', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-4.921912'}
2022-06-26 07:32:12: {'Acceleration': '(0.09399414, 0.1164551, 0.9812012)', 'Roll': '-5.47195', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.737997'}
2022-06-26 07:32:13: {'Acceleration': '(0.05065918, 0.09777832, 0.9812012)', 'Roll': '-1.888266', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.687761'}
2022-06-26 07:32:14: {'Acceleration': '(0.03930664, 0.1381836, 1.067505)', 'Roll': '-2.108737', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.370721'}
2022-06-26 07:32:15: {'Acceleration': '(0.003417969, 0.09863281, 1.02771)', 'Roll': '-0.1905542', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.482049'}
2022-06-26 07:32:16: {'Acceleration': '(0.01245117, 0.08410645, 0.9743652)', 'Roll': '-0.666808', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.525023'}
2022-06-26 07:32:17: {'Acceleration': '(0.02124023, 0.1315918, 1.026245)', 'Roll': '-1.124371', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-7.305571'}
2022-06-26 07:32:18: {'Acceleration': '(0.02502441, 0.125, 1.015137)', 'Roll': '-2.458677', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-6.986849'}
2022-06-26 07:32:19: {'Acceleration': '(0.04272461, 0.1108398, 1.024048)', 'Roll': '-2.389069', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-5.388486'}
