Testing SD card write operations: 2022-06-26 07:30:17
2022-06-26 07:31:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ab0a76416367bb6c709663e8189d3c1be69f52442a1f5cfa7e406c06', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:13: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '2c434a2852100bcc9d1f50f0f35eb4437f3657a3b7d9a0635bf54537', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-26 07:31:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '914e13d25787a38701ca26be09bef40a8adcd4263519a4e41b7e7033', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f8980d10cca08a71b1b9489cbfca587260995f371c061b767d8d3f7', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ee9ecf5e3db6eef4e2b96c7c0ef0e429a8addc787dc9dd1b76eef28e', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:31:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '51a3fafd5419bf4b9112861c605a076526371e23774dc7291751b609', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:31:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1a702ccdda612a6aa85a97ef967821a2b3608a0331dfee488af60af', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:20: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '86ac6de4eb573f63cf79370d65670bd66a69d71c2e22ca4267ee6ad5', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:31:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ce2f72fd5371ad8ea5cb8bad70c2e7789e1bb77e054eebe288524ee0', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-26 07:31:22: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '6bc658f34258d16eb31fc2cb1266f8b4d73a9830cd561ba497850554', 'rssi': -91, 'name': 'Tb91', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -10, 'adv_tx_pwr': 3}
