Testing SD card write operations: 2022-04-04 01:13:48
2022-04-04 01:14:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9876c1904d05e44763ac23626e5c0bbc74774469ca6b931ffdcdace8', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -42, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '587473aa7a15714885d395fdd8ed8dc4207a44b95cd80325ad69902f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f0d383bf8913b8afbb0fc209720cce28b0e5ed13e494cc91412ff89a', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:15:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
