Testing SD card write operations: 2022-05-25 20:16:37
2022-05-25 20:17:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '18711798f7f18c52cb68e643e53668352a3f7ff02aceca2de62f1d14782356be', 'rssi': -35, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fb358cbd2312a1f083a71a2c5458e45af3bdd17c53ebff95fda9802f4772bcbd', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '93ed2b118904c9d86097a31a293734ab9db41a7116f335ae79fad81d89e33039', 'rssi': -85, 'name': 'Tb31', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042db85e86ce1b4a32fdd765a9592fce78d70a88fdc8b9eb16d70c7fd58d3d47', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-05-25 20:17:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ab5790802582fe6e95d6df7801c6354a95a33bca6903d2f23c227fb673dcf674', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '33a9a7ba08c711d2b19fbd33f3b80e6694d686f00629751dccee17000fe0b158', 'rssi': -72, 'name': 'Tb30', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ccad233d90983be1f0912f08d43c792477c83a48ffd191efa5008d396c6eef8', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a3ad37f2d419140cd06780e46d900d2f0740af0dee23ba0772bfff115e9536e3', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a4e90bccc896714497013be00bef7c653ad5893e0295cbb8c0958ec1bd98d2fd', 'rssi': -32, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a76ce30ef3eef0f2a00ed10ff553a3d7d36713f96ceba5686653f8e85a6925af', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '62798f95472b30ca518573b54bc62528bd8d7968d79605e893e12313f2894916', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b837fcd9b0261142a5a627def2687ac6626a8c85fff6d88f2c575f88cbb8a257', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a76ce30ef3eef0f2a00ed10ff553a3d7d36713f96ceba5686653f8e85a6925af', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '072348988eedbdd89de7101abec080b08ae932264fb30961b7e7bee68d55b196', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ab5790802582fe6e95d6df7801c6354a95a33bca6903d2f23c227fb673dcf674', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:45: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': 'b44addbbcb6b915651255fc4f550f3a4de8de48d4e0a3f52d937e9075f27d1b8', 'rssi': -86, 'name': 'Tb32', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '064692f0afe2b006c7a33c9bef0128e7243ad8d082ca96d1ed64cf0416878cc3', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f738180d2b30e202c4081dd6cdbc9c7cb32cc84b6a82c2a6362c6ebd8d5c4593', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:47: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '452fc4fceb157ef890c4cb7b7dee55e699a0df724a2fc35257d99afb26df75bf', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -12, 'adv_tx_pwr': 3}
2022-05-25 20:17:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '184cd7b410a659a1930873751487acf84ede84825f011df9196f553ff093d421', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
