Testing SD card write operations: 2023-01-27 10:44:18
2023-01-27 10:49:23: {'Acceleration': '(-0.03076172, 0.04296875, 1.013916)', 'Roll': '1.737793', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.425571'}
2023-01-27 10:49:24: {'Acceleration': '(-0.03112793, 0.04382324, 1.016724)', 'Roll': '1.753615', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.549257'}
2023-01-27 10:49:25: {'Acceleration': '(-0.0345459, 0.04223633, 1.013306)', 'Roll': '1.952587', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.523942'}
2023-01-27 10:49:26: {'Acceleration': '(-0.03369141, 0.04321289, 1.015869)', 'Roll': '1.899524', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.434434'}
2023-01-27 10:49:26: {'Acceleration': '(-0.03271484, 0.04711914, 1.015381)', 'Roll': '1.680029', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.524931'}
2023-01-27 10:49:27: {'Acceleration': '(-0.03271484, 0.04455566, 1.013184)', 'Roll': '1.84939', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.498335'}
2023-01-27 10:49:28: {'Acceleration': '(-0.0300293, 0.04382324, 1.013062)', 'Roll': '1.697871', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.475883'}
2023-01-27 10:49:29: {'Acceleration': '(-0.03234863, 0.04333496, 1.014526)', 'Roll': '1.826283', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.444631'}
2023-01-27 10:49:30: {'Acceleration': '(-0.03039551, 0.04516602, 1.009277)', 'Roll': '1.683462', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.588872'}
2023-01-27 10:49:31: {'Acceleration': '(-0.02893066, 0.04174805, 1.010986)', 'Roll': '1.804537', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.573784'}
