Testing SD card write operations: 2022-06-04 21:40:46
2022-06-04 21:42:19: {'Acceleration': '(-0.6407471, -0.3626709, 1.027466)', 'Roll': '31.94844', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '16.67343'}
2022-06-04 21:42:20: {'Acceleration': '(0.0201416, -0.1445313, 1.198364)', 'Roll': '15.76449', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.557306'}
2022-06-04 21:42:21: {'Acceleration': '(0.05419922, -0.04858398, 0.4290771)', 'Roll': '-7.199233', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '6.409528'}
2022-06-04 21:42:22: {'Acceleration': '(-0.6744385, 0.0291748, 1.324829)', 'Roll': '26.97954', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.124281'}
2022-06-04 21:42:23: {'Acceleration': '(-0.001342773, 0.07312012, 0.7601318)', 'Roll': '-4.164826', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-6.460396'}
2022-06-04 21:42:24: {'Acceleration': '(-0.4365234, 0.08996582, 0.9206543)', 'Roll': '25.36772', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.04596'}
2022-06-04 21:42:25: {'Acceleration': '(0.09338379, -0.01794434, 0.8820801)', 'Roll': '-6.043262', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '1.158944'}
2022-06-04 21:42:26: {'Acceleration': '(-1.197998, 0.3098145, 1.041382)', 'Roll': '51.83195', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-13.7862'}
2022-06-04 21:42:27: {'Acceleration': '(0.1942139, 0.0904541, 0.7648926)', 'Roll': '-14.2469', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-6.538716'}
2022-06-04 21:42:28: {'Acceleration': '(-0.7219238, -0.1875, 1.00415)', 'Roll': '35.71387', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.620956'}
2022-06-04 21:42:29: {'Acceleration': '(0.1102295, 0.09240723, 1.347046)', 'Roll': '-4.666333', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.471651'}
2022-06-04 21:42:30: {'Acceleration': '(0.0003662109, -0.09265137, 0.6427002)', 'Roll': '-0.03264716', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '8.203218'}
2022-06-04 21:42:31: {'Acceleration': '(-0.1793213, 0.04736328, 1.396851)', 'Roll': '7.315359', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.9262'}
2022-06-04 21:42:32: {'Acceleration': '(0.02099609, -0.01623535, 0.451416)', 'Roll': '-3.361511', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-6.105911'}
2022-06-04 21:42:33: {'Acceleration': '(-0.3095703, -0.003173828, 0.8330078)', 'Roll': '20.38655', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-7.935722'}
2022-06-04 21:42:34: {'Acceleration': '(0.05566406, 0.06970215, 0.6911621)', 'Roll': '-4.604487', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-5.646424'}
2022-06-04 21:42:35: {'Acceleration': '(-0.2470703, 0.3041992, 0.909668)', 'Roll': '15.19525', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-17.88569'}
2022-06-04 21:42:36: {'Acceleration': '(-0.2680664, -0.4682617, 1.80127)', 'Roll': '10.30067', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.383233'}
2022-06-04 21:42:37: {'Acceleration': '(-0.2878418, -0.1706543, 0.7025146)', 'Roll': '22.28042', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.66853'}
2022-06-04 21:42:38: {'Acceleration': '(-0.3046875, -0.1787109, 1.027222)', 'Roll': '15.96159', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.079418'}
2022-06-04 21:42:39: {'Acceleration': '(-0.01708984, 0.02319336, 0.5125732)', 'Roll': '-2.721428', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-5.157362'}
2022-06-04 21:42:40: {'Acceleration': '(-0.4645996, 0.3740234, 1.080566)', 'Roll': '23.26574', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-17.64012'}
2022-06-04 21:42:41: {'Acceleration': '(0.1159668, 0.07897949, 0.8428955)', 'Roll': '4.574348', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.17218'}
2022-06-04 21:42:42: {'Acceleration': '(-0.6153564, -0.2193604, 1.057983)', 'Roll': '26.69044', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '16.96688'}
2022-06-04 21:42:43: {'Acceleration': '(-0.3500977, -0.5258789, 1.302246)', 'Roll': '15.04768', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '19.35246'}
2022-06-04 21:42:44: {'Acceleration': '(0.03271484, -0.03015137, 0.6342773)', 'Roll': '-2.952593', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '2.717988'}
2022-06-04 21:42:45: {'Acceleration': '(-0.4329834, -0.1520996, 1.699707)', 'Roll': '14.29157', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '4.956084'}
2022-06-04 21:42:46: {'Acceleration': '(-0.1234131, -0.1640625, 0.8481445)', 'Roll': '8.278975', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '2.813503'}
