Testing SD card write operations: 2022-06-04 21:40:45
2022-06-04 21:43:30: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-73}
2022-06-04 21:43:33: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-67}
2022-06-04 21:43:35: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-80}
2022-06-04 21:43:37: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-60}
2022-06-04 21:43:41: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-67}
2022-06-04 21:43:43: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-64}
2022-06-04 21:43:44: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-61}
2022-06-04 21:43:46: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-60}
2022-06-04 21:43:48: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-63}
2022-06-04 21:43:50: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-64}
2022-06-04 21:43:52: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:43:54: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-63}
2022-06-04 21:43:56: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-65}
2022-06-04 21:43:57: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-66}
2022-06-04 21:43:59: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-68}
2022-06-04 21:44:01: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-74}
2022-06-04 21:44:03: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-69}
2022-06-04 21:44:05: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:44:07: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-69}
2022-06-04 21:44:08: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-68}
2022-06-04 21:44:10: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-66}
2022-06-04 21:44:12: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-78}
2022-06-04 21:44:14: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-68}
2022-06-04 21:44:16: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:44:18: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-74}
2022-06-04 21:44:20: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-71}
2022-06-04 21:44:23: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-61}
2022-06-04 21:44:25: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-60}
2022-06-04 21:44:27: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-74}
2022-06-04 21:44:29: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-71}
2022-06-04 21:44:31: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-63}
2022-06-04 21:44:32: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-63}
2022-06-04 21:44:34: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-73}
2022-06-04 21:44:36: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-79}
2022-06-04 21:44:40: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-69}
2022-06-04 21:44:42: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-67}
2022-06-04 21:44:44: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-74}
2022-06-04 21:44:45: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-71}
2022-06-04 21:44:47: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-70}
2022-06-04 21:44:49: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-64}
2022-06-04 21:44:51: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-72}
2022-06-04 21:44:55: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-72}
2022-06-04 21:44:56: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-81}
2022-06-04 21:44:58: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-73}
2022-06-04 21:45:00: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-71}
2022-06-04 21:45:02: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-73}
2022-06-04 21:45:04: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-66}
2022-06-04 21:45:06: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-68}
2022-06-04 21:45:08: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-76}
2022-06-04 21:45:09: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-69}
2022-06-04 21:45:11: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-74}
2022-06-04 21:45:13: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-66}
2022-06-04 21:45:15: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-72}
2022-06-04 21:45:17: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-69}
2022-06-04 21:45:19: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-85}
2022-06-04 21:45:20: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-76}
2022-06-04 21:45:22: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-71}
