Testing SD card write operations: 2022-07-01 09:08:58
2022-07-01 09:10:22: {'Acceleration': '(-0.137207, -0.1224365, 0.9991455)', 'Roll': '7.633615', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.924955'}
2022-07-01 09:10:23: {'Acceleration': '(-0.1362305, -0.1219482, 0.9976807)', 'Roll': '7.811362', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.754259'}
2022-07-01 09:10:24: {'Acceleration': '(-0.1363525, -0.1208496, 0.9957275)', 'Roll': '7.797449', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.98346'}
2022-07-01 09:10:25: {'Acceleration': '(-0.1356201, -0.119873, 0.9960938)', 'Roll': '7.755136', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.842797'}
2022-07-01 09:10:25: {'Acceleration': '(-0.137085, -0.1196289, 0.99646)', 'Roll': '7.814215', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.740041'}
2022-07-01 09:10:26: {'Acceleration': '(-0.1367188, -0.1195068, 0.9968262)', 'Roll': '7.809622', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.773594'}
2022-07-01 09:10:27: {'Acceleration': '(-0.1369629, -0.1195068, 0.9990234)', 'Roll': '7.8064', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.940567'}
2022-07-01 09:10:28: {'Acceleration': '(-0.1367188, -0.1209717, 0.9980469)', 'Roll': '7.800188', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.739306'}
2022-07-01 09:10:29: {'Acceleration': '(-0.1337891, -0.1195068, 0.9995117)', 'Roll': '7.623975', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.776222'}
2022-07-01 09:10:30: {'Acceleration': '(-0.1350098, -0.1184082, 0.9996338)', 'Roll': '7.69178', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.737082'}
2022-07-01 09:10:31: {'Acceleration': '(-0.1363525, -0.1190186, 0.9971924)', 'Roll': '7.786134', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.744094'}
2022-07-01 09:10:31: {'Acceleration': '(-0.1369629, -0.1217041, 0.9959717)', 'Roll': '7.830024', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.829578'}
2022-07-01 09:10:32: {'Acceleration': '(-0.1356201, -0.1206055, 0.99646)', 'Roll': '7.750443', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.757294'}
2022-07-01 09:10:33: {'Acceleration': '(-0.135498, -0.1208496, 0.9992676)', 'Roll': '7.722059', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.833818'}
2022-07-01 09:10:34: {'Acceleration': '(-0.1346436, -0.119751, 0.9968262)', 'Roll': '7.692513', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.63147'}
2022-07-01 09:10:35: {'Acceleration': '(-0.1351318, -0.1212158, 0.9953613)', 'Roll': '7.731298', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.880824'}
2022-07-01 09:10:36: {'Acceleration': '(-0.1381836, -0.1196289, 0.9970703)', 'Roll': '7.890339', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '6.7775'}
2022-07-01 09:10:37: {'Acceleration': '(-0.1365967, -0.1203613, 0.9970703)', 'Roll': '7.800848', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.69674'}
2022-07-01 09:10:37: {'Acceleration': '(-0.135498, -0.119873, 0.9918213)', 'Roll': '7.779325', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.801743'}
2022-07-01 09:10:38: {'Acceleration': '(-0.1347656, -0.1207275, 0.9973145)', 'Roll': '7.695679', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.840647'}
2022-07-01 09:10:39: {'Acceleration': '(-0.1343994, -0.1217041, 0.996582)', 'Roll': '7.68059', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.697227'}
2022-07-01 09:10:40: {'Acceleration': '(-0.1359863, -0.1202393, 0.998291)', 'Roll': '7.757037', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.790315'}
2022-07-01 09:10:41: {'Acceleration': '(-0.1381836, -0.1202393, 0.9991455)', 'Roll': '7.874156', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.798002'}
2022-07-01 09:10:42: {'Acceleration': '(-0.1330566, -0.119751, 0.996582)', 'Roll': '7.604756', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.811594'}
2022-07-01 09:10:43: {'Acceleration': '(-0.1340332, -0.1221924, 0.9942627)', 'Roll': '7.677566', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.706626'}
2022-07-01 09:10:43: {'Acceleration': '(-0.1356201, -0.1206055, 0.9969482)', 'Roll': '7.746694', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.835464'}
2022-07-01 09:10:44: {'Acceleration': '(-0.1363525, -0.1184082, 0.9949951)', 'Roll': '7.78049', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.602914'}
2022-07-01 09:10:45: {'Acceleration': '(-0.1385498, -0.1203613, 0.99646)', 'Roll': '7.91577', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.761028'}
2022-07-01 09:10:46: {'Acceleration': '(-0.1358643, -0.1217041, 0.9967041)', 'Roll': '7.762347', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.864219'}
2022-07-01 09:10:47: {'Acceleration': '(-0.1333008, -0.1217041, 0.9992676)', 'Roll': '7.880599', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.66558'}
2022-07-01 09:10:48: {'Acceleration': '(-0.1347656, -0.119873, 0.9943848)', 'Roll': '7.7237', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.863149'}
2022-07-01 09:10:49: {'Acceleration': '(-0.1342773, -0.1185303, 0.998291)', 'Roll': '7.660716', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.832859'}
2022-07-01 09:10:49: {'Acceleration': '(-0.1352539, -0.1226807, 0.9995117)', 'Roll': '7.706451', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.934935'}
2022-07-01 09:10:50: {'Acceleration': '(-0.1307373, -0.1185303, 0.9989014)', 'Roll': '7.456551', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '6.710409'}
2022-07-01 09:10:51: {'Acceleration': '(-0.1358643, -0.1177979, 0.9970703)', 'Roll': '7.759531', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.6862'}
