Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:13:41: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-89}
2022-09-11 17:13:41: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-89}
2022-09-11 17:13:41: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-11 17:13:45: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-78}
2022-09-11 17:13:45: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-79}
2022-09-11 17:13:45: {'ssid':'P932', 'bssid':'9a41093b6a8f9ee9f8a6ddfe8bf91276e430b59feb0c7f98109d9d60e555a23f', 'sec':3, 'channel':6, 'rssi':-87}
2022-09-11 17:13:45: {'ssid':'P925', 'bssid':'d4cb3b555294d3a65ee6c9514db078c47e4329bfc55d2657cb9adad40b318e0e', 'sec':4, 'channel':1, 'rssi':-90}
2022-09-11 17:13:45: {'ssid':'P924', 'bssid':'9d416900656286ca0cf7e5e420481f290c2b3083812f0162fa008255d7bbb25c', 'sec':3, 'channel':1, 'rssi':-92}
2022-09-11 17:13:47: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-78}
2022-09-11 17:13:47: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-79}
2022-09-11 17:13:47: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-79}
2022-09-11 17:13:47: {'ssid':'P932', 'bssid':'9a41093b6a8f9ee9f8a6ddfe8bf91276e430b59feb0c7f98109d9d60e555a23f', 'sec':3, 'channel':6, 'rssi':-89}
2022-09-11 17:13:49: {'ssid':'P932', 'bssid':'9a41093b6a8f9ee9f8a6ddfe8bf91276e430b59feb0c7f98109d9d60e555a23f', 'sec':3, 'channel':6, 'rssi':-82}
2022-09-11 17:13:49: {'ssid':'P916', 'bssid':'16a0f202f1bb22985112ef8ee48f68052d7a39f743d0664abb41873694849d9f', 'sec':3, 'channel':11, 'rssi':-82}
2022-09-11 17:13:49: {'ssid':'P92', 'bssid':'c98ab6d357c81f3e29b1b3c1ca745d2c2c923b6e09bbdd66481986a13319b3d5', 'sec':3, 'channel':11, 'rssi':-83}
2022-09-11 17:13:49: {'ssid':'P915', 'bssid':'a89fc0e31170746034d84615277657635698db3e705388e591fb0a4bcbf21bd7', 'sec':3, 'channel':11, 'rssi':-85}
2022-09-11 17:13:51: {'ssid':'P915', 'bssid':'a89fc0e31170746034d84615277657635698db3e705388e591fb0a4bcbf21bd7', 'sec':3, 'channel':11, 'rssi':-86}
2022-09-11 17:13:51: {'ssid':'P92', 'bssid':'c98ab6d357c81f3e29b1b3c1ca745d2c2c923b6e09bbdd66481986a13319b3d5', 'sec':3, 'channel':11, 'rssi':-88}
2022-09-11 17:13:51: {'ssid':'P916', 'bssid':'16a0f202f1bb22985112ef8ee48f68052d7a39f743d0664abb41873694849d9f', 'sec':3, 'channel':11, 'rssi':-88}
2022-09-11 17:13:51: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-11 17:13:51: {'ssid':'P92', 'bssid':'56af0643ca09e2c27dfb37090017bcc85678b71eb2ef138eb4e8ab363f1e2681', 'sec':3, 'channel':1, 'rssi':-91}
2022-09-11 17:13:51: {'ssid':'P916', 'bssid':'8a8caf70f72491729910c8b5dadf152eec4b02cb64aad17a77362b111d027c42', 'sec':3, 'channel':1, 'rssi':-91}
2022-09-11 17:13:51: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-91}
2022-09-11 17:13:51: {'ssid':'P915', 'bssid':'9d92d4e85bdb0d466f904b6ae56cc17e7351787747ebfccf24cad31c2cb345ee', 'sec':3, 'channel':1, 'rssi':-92}
2022-09-11 17:13:51: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-93}
