Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:13:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '57be83a2bbd3d1de6ff244a728d87ac138b3977706b9c1c65b9fec3b0f104f12', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45091ffb7db686b1585f35cdc7e85c4315bef6cad8546acb41ee2c7c101bc6b7', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:13:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a4777c39ff76bdadb4d1b5c2c0a7e463787dfa3688aa8a4dc3cae556f03e924d', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-09-11 17:13:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a4777c39ff76bdadb4d1b5c2c0a7e463787dfa3688aa8a4dc3cae556f03e924d', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-09-11 17:13:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:13:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a4777c39ff76bdadb4d1b5c2c0a7e463787dfa3688aa8a4dc3cae556f03e924d', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-09-11 17:13:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
