Testing SD card write operations: 2023-01-22 19:26:16
2023-01-22 19:27:17: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '6deb302d7c70bd6c65b785551ab17e3565bb693e84ff3e3128199e29ccb2ddaa', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:18: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:19: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '03febd105464069efc012cc99bca2782a6a8be591fe07693221a2f83a4b0cce2', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:20: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 24, 'def_tx_pwr': 0, 'mac': '2e20e47b9b3718e17d771f2f0d6dc0778bb5080ba5b10df4ed58a15b8606806b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:20: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:21: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'c263fe81837e268938cd522b5284bcdc042f1763ff41a3e1add787406c7369c1', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:22: {'name': None, 'adv_flag': None, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:23: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:24: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 24, 'def_tx_pwr': 0, 'mac': '2e20e47b9b3718e17d771f2f0d6dc0778bb5080ba5b10df4ed58a15b8606806b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:24: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
