Testing SD card write operations: 2022-06-09 16:54:51
2022-06-09 16:56:03: {'Acceleration': '(0.4108887, 0.02075195, 1.088501)', 'Roll': '-21.42266', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.2836104'}
2022-06-09 16:56:04: {'Acceleration': '(0.2337646, -0.09655762, 0.9833984)', 'Roll': '-13.37166', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.456671'}
2022-06-09 16:56:05: {'Acceleration': '(0.234375, -0.104248, 0.9759521)', 'Roll': '-13.50387', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.929691'}
2022-06-09 16:56:06: {'Acceleration': '(0.2332764, -0.1032715, 0.9737549)', 'Roll': '-13.4721', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.880859'}
2022-06-09 16:56:07: {'Acceleration': '(0.2338867, -0.100708, 0.9769287)', 'Roll': '-13.46378', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.724959'}
2022-06-09 16:56:08: {'Acceleration': '(0.2313232, -0.1020508, 0.9753418)', 'Roll': '-13.3424', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.726063'}
2022-06-09 16:56:08: {'Acceleration': '(0.2271729, -0.1000977, 0.9746094)', 'Roll': '-13.21612', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.868804'}
2022-06-09 16:56:09: {'Acceleration': '(0.234375, -0.09997559, 0.9676514)', 'Roll': '-13.4714', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.656199'}
2022-06-09 16:56:10: {'Acceleration': '(0.2338867, -0.102417, 0.9682617)', 'Roll': '-13.57985', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.870353'}
2022-06-09 16:56:11: {'Acceleration': '(0.2313232, -0.09924316, 0.9768066)', 'Roll': '-13.3231', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.83122'}
2022-06-09 16:56:12: {'Acceleration': '(0.2354736, -0.1025391, 0.9755859)', 'Roll': '-13.56973', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.83373'}
2022-06-09 16:56:13: {'Acceleration': '(0.2336426, -0.1047363, 0.9746094)', 'Roll': '-13.36934', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.695729'}
2022-06-09 16:56:13: {'Acceleration': '(0.2362061, -0.1035156, 0.9805908)', 'Roll': '-13.54347', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.859697'}
2022-06-09 16:56:14: {'Acceleration': '(0.2281494, -0.09912109, 0.9812012)', 'Roll': '-13.08985', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.619544'}
2022-06-09 16:56:15: {'Acceleration': '(0.232666, -0.09057617, 0.977417)', 'Roll': '-13.3896', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.897928'}
2022-06-09 16:56:16: {'Acceleration': '(0.2333984, -0.1025391, 0.9719238)', 'Roll': '-13.46933', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.858008'}
2022-06-09 16:56:17: {'Acceleration': '(0.2315674, -0.1004639, 0.977417)', 'Roll': '-13.68146', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.900499'}
