Testing SD card write operations: 2022-03-30 09:54:20
2022-03-30 09:55:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '91b9f2076d1fbdaf14185904f48841cff2ccd286e8a796d4e9bd6fed', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '380af3dd5c44106af0b6db43efecc36336c1fd002195553300b86afe', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59fc23f16d5396fcebf7569a3ce378ba189853814c9dd9a341709075', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:18: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': '94c63edae1d4ccac7a392479fbb48913f782f9ab3cfd9cb667045a43', 'rssi': -67, 'name': 'Ob10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:55:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:22: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': '94c63edae1d4ccac7a392479fbb48913f782f9ab3cfd9cb667045a43', 'rssi': -70, 'name': 'Ob10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:55:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a66f3865712fbf5cf7d27cb1013fa1658efbf3197139ea200372edc6', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a66f3865712fbf5cf7d27cb1013fa1658efbf3197139ea200372edc6', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ead539eda44805e1a1fa11e7d0eacc1d6010e1510a4e3efa83516e8e', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
