File is openned: 2022-03-30 09:54:23
2022-03-30 09:55:44: {'Acceleration': '(-0.1778564, 0.0715332, 0.9918213)', 'Roll': '10.1664', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.069359'}
2022-03-30 09:55:45: {'Acceleration': '(-0.1774902, 0.06738281, 0.9919434)', 'Roll': '10.14468', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.836967'}
2022-03-30 09:55:46: {'Acceleration': '(-0.1755371, 0.06542969, 0.9915771)', 'Roll': '10.03896', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-3.725116'}
2022-03-30 09:55:47: {'Acceleration': '(-0.1728516, 0.06848145, 0.9892578)', 'Roll': '9.911152', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.757019'}
2022-03-30 09:55:48: {'Acceleration': '(-0.1748047, 0.06933594, 0.9943848)', 'Roll': '9.970258', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-3.901108'}
2022-03-30 09:55:49: {'Acceleration': '(-0.1767578, 0.07019043, 0.9903564)', 'Roll': '10.11954', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-4.008794'}
2022-03-30 09:55:50: {'Acceleration': '(-0.1748047, 0.06811523, 0.9813232)', 'Roll': '10.10025', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-3.882214'}
2022-03-30 09:55:51: {'Acceleration': '(-0.1738281, 0.06726074, 0.9880371)', 'Roll': '9.978094', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.835679'}
2022-03-30 09:55:52: {'Acceleration': '(-0.1673584, 0.07128906, 0.987793)', 'Roll': '9.87746', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.066901'}
2022-03-30 09:55:54: {'Acceleration': '(-0.1710205, 0.06872559, 0.9837646)', 'Roll': '9.861905', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.937315'}
2022-03-30 09:55:55: {'Acceleration': '(-0.1721191, 0.06958008, 0.9892578)', 'Roll': '9.869983', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.768301'}
2022-03-30 09:55:56: {'Acceleration': '(-0.1726074, 0.06774902, 0.9885254)', 'Roll': '9.904619', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.834199'}
2022-03-30 09:55:57: {'Acceleration': '(-0.1715088, 0.06738281, 0.9859619)', 'Roll': '9.867902', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-3.740079'}
2022-03-30 09:55:58: {'Acceleration': '(-0.1743164, 0.07019043, 0.998291)', 'Roll': '9.90483', 'battery_voltage': 4.576308, 'battery_percentage': 90.96411, 'Pitch': '-3.854703'}
2022-03-30 09:55:59: {'Acceleration': '(-0.1765137, 0.06604004, 0.979126)', 'Roll': '10.21933', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-3.759577'}
2022-03-30 09:56:00: {'Acceleration': '(-0.1719971, 0.06921387, 0.9959717)', 'Roll': '9.668315', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.919024'}
2022-03-30 09:56:01: {'Acceleration': '(-0.1696777, 0.06518555, 0.9819336)', 'Roll': '9.848538', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.671745'}
2022-03-30 09:56:02: {'Acceleration': '(-0.1702881, 0.07202148, 1.00061)', 'Roll': '9.895892', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.131221'}
2022-03-30 09:56:03: {'Acceleration': '(-0.1483154, 0.07922363, 1.005737)', 'Roll': '9.96116', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.436362'}
2022-03-30 09:56:04: {'Acceleration': '(-0.1593018, 0.07385254, 0.9848633)', 'Roll': '9.236459', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.553593'}
2022-03-30 09:56:05: {'Acceleration': '(-0.1588135, 0.07971191, 0.9929199)', 'Roll': '9.49193', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.410759'}
2022-03-30 09:56:06: {'Acceleration': '(-0.133667, 0.06054688, 1.010986)', 'Roll': '11.18377', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.3888037'}
2022-03-30 09:56:07: {'Acceleration': '(-0.1682129, 0.05578613, 0.9418945)', 'Roll': '10.1257', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.39141'}
2022-03-30 09:56:09: {'Acceleration': '(0.08447266, 0.3099365, 1.011353)', 'Roll': '-4.774516', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-17.00926'}
2022-03-30 09:56:10: {'Acceleration': '(-0.1678467, 0.05847168, 0.9854736)', 'Roll': '9.665909', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.324724'}
2022-03-30 09:56:11: {'Acceleration': '(-0.1782227, 0.05749512, 1.007813)', 'Roll': '10.02856', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.311977'}
2022-03-30 09:56:12: {'Acceleration': '(-0.1674805, 0.05175781, 0.9682617)', 'Roll': '9.813366', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.01511'}
2022-03-30 09:56:13: {'Acceleration': '(-0.1717529, 0.0513916, 0.9613037)', 'Roll': '10.12996', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.012523'}
2022-03-30 09:56:14: {'Acceleration': '(0.206665, 0.5107422, 0.8483887)', 'Roll': '-13.69045', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-30.32381'}
2022-03-30 09:56:15: {'Acceleration': '(0.4240723, 0.8381348, 0.05969238)', 'Roll': '-81.98769', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-62.93481'}
2022-03-30 09:56:16: {'Acceleration': '(0.4304199, 0.8721924, -0.1838379)', 'Roll': '-113.1279', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-61.68384'}
2022-03-30 09:56:17: {'Acceleration': '(0.3759766, 0.887207, -0.1804199)', 'Roll': '-115.635', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-64.43175'}
2022-03-30 09:56:18: {'Acceleration': '(0.1965332, 0.9361572, -0.2728271)', 'Roll': '-144.2326', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-69.29598'}
2022-03-30 09:56:19: {'Acceleration': '(0.1427002, 0.923584, -0.3342285)', 'Roll': '-156.8797', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-67.89358'}
2022-03-30 09:56:20: {'Acceleration': '(0.3746338, 0.894165, -0.1174316)', 'Roll': '-107.404', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-66.16283'}
2022-03-30 09:56:21: {'Acceleration': '(0.3743896, 0.8952637, -0.1875)', 'Roll': '-116.6024', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-64.9344'}
2022-03-30 09:56:22: {'Acceleration': '(0.5458984, 0.9173584, -0.2095947)', 'Roll': '-122.783', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-67.12197'}
2022-03-30 09:56:23: {'Acceleration': '(0.3377686, 0.9158936, 0.1099854)', 'Roll': '-70.21225', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-69.03028'}
2022-03-30 09:56:24: {'Acceleration': '(0.0234375, 0.8109131, 0.5627441)', 'Roll': '-2.426978', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-55.53428'}
2022-03-30 09:56:25: {'Acceleration': '(0.2539063, 0.9338379, 0.2375488)', 'Roll': '-46.90631', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-69.59087'}
2022-03-30 09:56:26: {'Acceleration': '(0.2095947, 0.9639893, 0.02294922)', 'Roll': '-83.75139', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-77.12132'}
2022-03-30 09:56:27: {'Acceleration': '(0.2634277, 0.9533691, -0.05615234)', 'Roll': '-102.0331', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-74.22394'}
2022-03-30 09:56:29: {'Acceleration': '(0.4316406, 0.5216064, 0.3630371)', 'Roll': '-49.93404', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-42.76309'}
2022-03-30 09:56:30: {'Acceleration': '(-0.2746582, 0.1191406, 0.8880615)', 'Roll': '17.18571', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-7.303678'}
2022-03-30 09:56:31: {'Acceleration': '(-0.1697998, 0.03747559, 0.9837646)', 'Roll': '9.682384', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.150527'}
2022-03-30 09:56:32: {'Acceleration': '(-0.1727295, 0.03759766, 0.9870605)', 'Roll': '9.925901', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.148236'}
2022-03-30 09:56:33: {'Acceleration': '(-0.1705322, 0.03869629, 0.9868164)', 'Roll': '9.804479', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.212838'}
2022-03-30 09:56:34: {'Acceleration': '(-0.1727295, 0.0378418, 0.9908447)', 'Roll': '9.888743', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.252032'}
2022-03-30 09:56:35: {'Acceleration': '(-0.1721191, 0.03759766, 0.9908447)', 'Roll': '9.854486', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.235381'}
2022-03-30 09:56:36: {'Acceleration': '(-0.1715088, 0.03771973, 0.9927979)', 'Roll': '9.847583', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.33526'}
2022-03-30 09:56:37: {'Acceleration': '(-0.1726074, 0.03930664, 0.9918213)', 'Roll': '9.763472', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.213794'}
2022-03-30 09:56:38: {'Acceleration': '(-0.1723633, 0.03649902, 0.9934082)', 'Roll': '9.78646', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.202105'}
2022-03-30 09:56:39: {'Acceleration': '(-0.1708984, 0.0369873, 0.9932861)', 'Roll': '9.796554', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.392464'}
2022-03-30 09:56:40: {'Acceleration': '(-0.1722412, 0.03857422, 0.9875488)', 'Roll': '9.893601', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.203636'}
2022-03-30 09:56:41: {'Acceleration': '(-0.1699219, 0.03759766, 0.9875488)', 'Roll': '9.762958', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.15107'}
2022-03-30 09:56:42: {'Acceleration': '(-0.1721191, 0.03894043, 0.9938965)', 'Roll': '9.824819', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-2.16792'}
2022-03-30 09:56:44: {'Acceleration': '(-0.173584, 0.03771973, 0.9985352)', 'Roll': '9.902456', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-2.282699'}
2022-03-30 09:56:45: {'Acceleration': '(-0.173584, 0.04125977, 0.9842529)', 'Roll': '9.97433', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-2.364187'}
2022-03-30 09:56:46: {'Acceleration': '(-0.1677246, 0.03588867, 0.9936523)', 'Roll': '9.813518', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-2.038265'}
