Testing SD card write operations: 2022-07-08 16:20:44
2022-07-08 16:21:55: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-58}
2022-07-08 16:21:55: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-67}
2022-07-08 16:21:57: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 16:21:57: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-57}
2022-07-08 16:21:57: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-67}
2022-07-08 16:21:59: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-08 16:21:59: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-69}
2022-07-08 16:22:00: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 16:22:00: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-57}
2022-07-08 16:22:00: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-68}
2022-07-08 16:22:02: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-08 16:22:02: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-56}
2022-07-08 16:22:02: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-08 16:22:02: {'ssid':'T11', 'bssid':'7ea2a62bd2b2e4ae2cec6015fdb3cafb83607be6f456bbd9c864b630', 'sec':0, 'channel':6, 'rssi':-84}
2022-07-08 16:22:04: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 16:22:04: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-57}
2022-07-08 16:22:04: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-68}
2022-07-08 16:22:06: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 16:22:06: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-59}
2022-07-08 16:22:06: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-65}
2022-07-08 16:22:08: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-08 16:22:08: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-60}
2022-07-08 16:22:08: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-67}
2022-07-08 16:22:10: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-58}
2022-07-08 16:22:10: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-63}
2022-07-08 16:22:10: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-65}
2022-07-08 16:22:12: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 16:22:12: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-08 16:22:14: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 16:22:14: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-58}
2022-07-08 16:22:14: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-08 16:22:16: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 16:22:16: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-61}
2022-07-08 16:22:16: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-66}
2022-07-08 16:22:18: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-08 16:22:18: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-69}
2022-07-08 16:22:19: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-08 16:22:19: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-59}
2022-07-08 16:22:19: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-73}
2022-07-08 16:22:19: {'ssid':'T11', 'bssid':'7ea2a62bd2b2e4ae2cec6015fdb3cafb83607be6f456bbd9c864b630', 'sec':0, 'channel':6, 'rssi':-91}
2022-07-08 16:22:21: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-57}
2022-07-08 16:22:21: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-62}
2022-07-08 16:22:21: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-69}
2022-07-08 16:22:23: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 16:22:23: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-74}
2022-07-08 16:22:25: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-56}
2022-07-08 16:22:25: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-58}
