File is openned: 2022-05-22 10:48:46
2022-05-22 10:50:50: {'Acceleration': '(-0.572998, 0.7624512, 0.3421631)', 'Roll': '59.00555', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.92887'}
2022-05-22 10:50:51: {'Acceleration': '(-0.5701904, 0.7624512, 0.333252)', 'Roll': '59.69554', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.17615'}
2022-05-22 10:50:52: {'Acceleration': '(-0.5690918, 0.7623291, 0.3388672)', 'Roll': '59.17951', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.00048'}
2022-05-22 10:50:53: {'Acceleration': '(-0.5725098, 0.7630615, 0.3372803)', 'Roll': '59.49656', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.11645'}
2022-05-22 10:50:54: {'Acceleration': '(-0.5705566, 0.7629395, 0.338501)', 'Roll': '59.37381', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.88744'}
2022-05-22 10:50:56: {'Acceleration': '(-0.5726318, 0.7645264, 0.338501)', 'Roll': '59.41131', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.97411'}
2022-05-22 10:50:57: {'Acceleration': '(-0.571167, 0.7650146, 0.3344727)', 'Roll': '59.64696', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.02441'}
2022-05-22 10:50:58: {'Acceleration': '(-0.5759277, 0.7625732, 0.3371582)', 'Roll': '59.34461', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.03829'}
2022-05-22 10:50:59: {'Acceleration': '(-0.5731201, 0.7609863, 0.3347168)', 'Roll': '59.71398', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.9063'}
2022-05-22 10:51:00: {'Acceleration': '(-0.5693359, 0.7626953, 0.3354492)', 'Roll': '59.49367', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.18053'}
2022-05-22 10:51:01: {'Acceleration': '(-0.5698242, 0.762085, 0.3359375)', 'Roll': '59.74356', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.08318'}
2022-05-22 10:51:02: {'Acceleration': '(-0.5700684, 0.7609863, 0.3312988)', 'Roll': '59.62754', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.27047'}
2022-05-22 10:51:03: {'Acceleration': '(-0.5693359, 0.7623291, 0.3363037)', 'Roll': '59.42987', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.09356'}
2022-05-22 10:51:04: {'Acceleration': '(-0.5723877, 0.7602539, 0.3417969)', 'Roll': '59.64449', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.12849'}
2022-05-22 10:51:05: {'Acceleration': '(-0.5670166, 0.7598877, 0.3366699)', 'Roll': '59.29999', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.04836'}
2022-05-22 10:51:06: {'Acceleration': '(-0.5709229, 0.7630615, 0.3404541)', 'Roll': '59.19143', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.73623'}
2022-05-22 10:51:07: {'Acceleration': '(-0.5699463, 0.7624512, 0.3365479)', 'Roll': '59.36988', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.1363'}
2022-05-22 10:51:08: {'Acceleration': '(-0.5699463, 0.7614746, 0.3341064)', 'Roll': '59.62087', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.05508'}
2022-05-22 10:51:09: {'Acceleration': '(-0.5699463, 0.7618408, 0.3366699)', 'Roll': '59.42945', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.98043'}
2022-05-22 10:51:10: {'Acceleration': '(-0.5753174, 0.760498, 0.3305664)', 'Roll': '59.57076', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-48.85556'}
2022-05-22 10:51:11: {'Acceleration': '(-0.5714111, 0.7578125, 0.3394775)', 'Roll': '59.28529', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.74729'}
2022-05-22 10:51:12: {'Acceleration': '(-0.5689697, 0.7595215, 0.3358154)', 'Roll': '59.7489', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.09214'}
2022-05-22 10:51:13: {'Acceleration': '(-0.5662842, 0.7633057, 0.3369141)', 'Roll': '59.24922', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.19732'}
2022-05-22 10:51:14: {'Acceleration': '(-0.5708008, 0.7613525, 0.3355713)', 'Roll': '59.1499', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.09495'}
2022-05-22 10:51:16: {'Acceleration': '(-0.5688477, 0.760498, 0.3361816)', 'Roll': '59.41746', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.01413'}
2022-05-22 10:51:17: {'Acceleration': '(-0.5697021, 0.7631836, 0.3387451)', 'Roll': '59.00195', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.79911'}
2022-05-22 10:51:18: {'Acceleration': '(-0.5692139, 0.7612305, 0.3267822)', 'Roll': '60.14013', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.23149'}
2022-05-22 10:51:19: {'Acceleration': '(-0.5714111, 0.762085, 0.3336182)', 'Roll': '59.7215', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.05458'}
2022-05-22 10:51:20: {'Acceleration': '(-0.5722656, 0.7630615, 0.3331299)', 'Roll': '59.79526', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-49.04937'}
2022-05-22 10:51:21: {'Acceleration': '(-0.5708008, 0.7607422, 0.3361816)', 'Roll': '59.5034', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.96815'}
2022-05-22 10:51:22: {'Acceleration': '(-0.5653076, 0.7585449, 0.3443604)', 'Roll': '59.38399', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.0269'}
2022-05-22 10:51:23: {'Acceleration': '(-0.5689697, 0.7612305, 0.338501)', 'Roll': '59.25003', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.9862'}
2022-05-22 10:51:24: {'Acceleration': '(-0.5701904, 0.7650146, 0.338501)', 'Roll': '59.22779', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.90365'}
2022-05-22 10:51:25: {'Acceleration': '(-0.5681152, 0.7617188, 0.3348389)', 'Roll': '59.48552', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.11604'}
2022-05-22 10:51:26: {'Acceleration': '(-0.5682373, 0.758667, 0.3338623)', 'Roll': '59.00909', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-49.00989'}
2022-05-22 10:51:27: {'Acceleration': '(-0.5727539, 0.7613525, 0.3398438)', 'Roll': '59.3172', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.82238'}
2022-05-22 10:51:28: {'Acceleration': '(-0.5704346, 0.7619629, 0.336792)', 'Roll': '59.44184', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-48.86961'}
2022-05-22 10:51:29: {'Acceleration': '(-0.5731201, 0.7609863, 0.3330078)', 'Roll': '59.65497', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.09239'}
2022-05-22 10:51:30: {'Acceleration': '(-0.5675049, 0.7615967, 0.3319092)', 'Roll': '59.67847', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.19802'}
2022-05-22 10:51:31: {'Acceleration': '(-0.567749, 0.762085, 0.3369141)', 'Roll': '59.31422', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-48.97618'}
2022-05-22 10:51:32: {'Acceleration': '(-0.567627, 0.7597656, 0.3359375)', 'Roll': '59.48407', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-49.038'}
2022-05-22 10:51:33: {'Acceleration': '(-0.5679932, 0.7608643, 0.3338623)', 'Roll': '59.55329', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-49.11005'}
