Testing SD card write operations: 2022-05-20 09:12:20
2022-05-20 09:15:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4c3f739906c7', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 3, 'adv_tx_pwr': 3}
2022-05-20 09:15:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:15:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:15:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6f42b6154a58', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 09:15:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:15:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6f42b6154a58', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 09:15:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
