Testing SD card write operations: 2022-09-16 16:39:07
2022-09-16 16:42:46: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-16 16:42:48: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-46}
2022-09-16 16:42:50: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-46}
2022-09-16 16:42:51: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-16 16:42:55: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:42:57: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:42:59: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:43:01: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-45}
2022-09-16 16:43:03: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-45}
2022-09-16 16:43:05: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:43:06: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-16 16:43:08: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-38}
2022-09-16 16:43:10: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:43:12: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-37}
2022-09-16 16:43:16: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:18: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:19: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:43:21: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:43:23: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:43:25: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:43:27: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:43:29: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:32: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:43:34: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:36: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:38: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:40: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:42: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:43:44: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:46: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:43:47: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:43:49: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:51: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:43:55: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:43:57: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:43:59: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:44:00: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:44:02: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-16 16:44:04: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-16 16:44:06: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:44:08: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:44:10: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-37}
2022-09-16 16:44:12: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:44:13: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:44:15: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:44:17: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:44:19: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-37}
2022-09-16 16:44:21: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:44:23: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:44:25: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-40}
