Testing SD card write operations: 2022-07-06 13:31:32
2022-07-06 13:32:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0423adf322671a24a4d7c3444d1ecfa642d0caef9d083ab35d3760', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e17da20190483c7437a55169eff66351521d9298adc3c84d055d69e4', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3c9ad3daf44e7f87657ad59a11494628b0c8b8f56c6d7f743a2beb64', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-07-06 13:32:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '890242871dc1173247fe4dd4db0d6ef0c94f3a6d2f0f927286e0b0a0', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b8cf2978b72e2cdcab855045e2bbbadf985e8ee175b0ec80d5ace4c7', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:32:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aaa4ae2ff531e342ce4354008a8877a78e95df64256e9982cd54fd73', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a4f3a94a0033c9f86b728fd3dae7d64641f070dfb5cde83a5d1e872a', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc72a1caac963769f0d56c23be5b60ab3b6f06598e5ade22470f933d', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:32:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3352a9138bc1eaf540b9f8da8642967faee861296ca3732067630b98', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:32:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd6dbe1d55820460e8821605e4c4ecde34a815541ee37ad68c0ebbb8e', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:32:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '32b89c354b1572e9f36afdf0ca319ea224e10b73f8e7135b1a44ab0c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:32:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a4f3a94a0033c9f86b728fd3dae7d64641f070dfb5cde83a5d1e872a', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
