Testing SD card write operations: 2022-07-08 21:49:25
2022-07-08 21:50:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ceaabddc581ea8414dedc1dba2d2097ab22029039a40f24318698640c87f381', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:50:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0402b68c321c32817977587821ba27813fcd282324b0ba9ea816f7a0e3c259df', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1d9a550857b851d45acfdd4ac87c8ec737c22a5b2e0ecdeed09ae2b406dbf80a', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3ece0c8ff6c955a0fbe6cdd72504b40ec7aaa1467e28c500a6d3c3c54b93aa', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5d701859add1c62f2b28b1a3ba81c70eb55d7672cbd11909434f4bee15a6874e', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3ece0c8ff6c955a0fbe6cdd72504b40ec7aaa1467e28c500a6d3c3c54b93aa', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3ece0c8ff6c955a0fbe6cdd72504b40ec7aaa1467e28c500a6d3c3c54b93aa', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6422c0afab7031d06b8c9ffeb25bef4de8e1363c14b0073f98eb28f37d802bbf', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:50:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3ece0c8ff6c955a0fbe6cdd72504b40ec7aaa1467e28c500a6d3c3c54b93aa', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
