Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:26:32: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-08 21:26:33: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-08 21:26:35: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-08 21:26:37: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-08 21:26:39: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-08 21:26:41: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-08 21:26:45: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-08 21:26:46: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-08 21:26:50: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-08 21:26:52: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-22}
2022-07-08 21:26:54: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-08 21:26:58: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:26:59: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-08 21:27:01: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-08 21:27:03: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-08 21:27:05: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-08 21:27:05: {'ssid':'M32', 'bssid':'8639a9ed4c3332035b40f41ecb6877c9b82325c1b60bf5f82c3c79977a0a32af', 'sec':3, 'channel':11, 'rssi':-98}
2022-07-08 21:27:07: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-08 21:27:09: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-08 21:27:12: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-08 21:27:14: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:27:20: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-08 21:27:24: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:27:25: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:27:27: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:27:29: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:27:33: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-33}
