Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:24:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2da4e640a28b03ed82fd9d16156ce0e1a210dbaf32f6266bb2f762f4b8d32120', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '48d13b9a88843164003fcf0114339967b1b26d0804fe0b0c48dd7f03fb3242b1', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:24:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03dd4a08132bb4ace8bed6b05fd67bf36204f0477c7a6274260e2e2611d421e7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '17574268dd9d0bdf84abc3bf2f15db103aece1de22035b2b51a24011a96c46d6', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03dd4a08132bb4ace8bed6b05fd67bf36204f0477c7a6274260e2e2611d421e7', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '291165b7f2b8ccdbf1f78ef769b090ed99f89fbc0b6a58da6b9db4651fbc5051', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '120f37ba06ec18ac3a7c3f333c9387043dc6b2a9ace450a54ef2a935404191e5', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:24:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8a4342c298603b16ab744897a033b4efff9e9f08db5263824c08b62eef60cadb', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7c58be616b8a7c2438e58455d8640b76f474adc2a247c61f33befa93e5170571', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:24:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '120f37ba06ec18ac3a7c3f333c9387043dc6b2a9ace450a54ef2a935404191e5', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:24:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '548345ce3c1cbec23b9187fc823bbcfec0fceba17813aa9c2308f2abdf4924b7', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:24:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2da4e640a28b03ed82fd9d16156ce0e1a210dbaf32f6266bb2f762f4b8d32120', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c29b451507c59e33551bfdce4e5dc7bea34c22c457b1b96a6536d1d21e6bd29e', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '2cbaa68e37350e296cb49186e8c6bd27bcc88df1bb436106fdc582338d0ef55d', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8662ff8abb350e5428e72fd3fb82dbac831de3480125e7623aaf49f0badd2864', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '233fa267ccb3f66ba14471a279faf4bc50de4d8aefdab4e24b61b503b632dcdb', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
