Testing SD card write operations: 2022-07-08 21:23:22
2022-07-08 21:25:11: {'Acceleration': '(-0.2443848, -0.1170654, 0.9512939)', 'Roll': '14.40757', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.79696'}
2022-07-08 21:25:12: {'Acceleration': '(-0.2337646, -0.104248, 0.9821777)', 'Roll': '13.95511', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.141021'}
2022-07-08 21:25:13: {'Acceleration': '(-0.2275391, -0.1142578, 0.973877)', 'Roll': '13.54531', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '7.651485'}
2022-07-08 21:25:14: {'Acceleration': '(-0.2225342, -0.09606934, 0.9838867)', 'Roll': '12.74464', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.440272'}
2022-07-08 21:25:15: {'Acceleration': '(-0.1557617, -0.1942139, 0.9897461)', 'Roll': '8.950239', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '11.34691'}
2022-07-08 21:25:15: {'Acceleration': '(-0.2227783, -0.1728516, 0.9266357)', 'Roll': '13.31879', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.64495'}
2022-07-08 21:25:16: {'Acceleration': '(-0.2613525, -0.1937256, 0.9534912)', 'Roll': '15.32833', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.08649'}
2022-07-08 21:25:17: {'Acceleration': '(-0.2844238, -0.2314453, 0.973877)', 'Roll': '15.67067', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.90825'}
2022-07-08 21:25:18: {'Acceleration': '(-0.2967529, -0.2526855, 0.9735107)', 'Roll': '17.20334', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '13.28491'}
2022-07-08 21:25:19: {'Acceleration': '(-0.2839355, -0.2299805, 0.9645996)', 'Roll': '16.4021', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.88297'}
2022-07-08 21:25:20: {'Acceleration': '(-0.2718506, -0.2098389, 0.9561768)', 'Roll': '16.0953', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '12.57924'}
2022-07-08 21:25:21: {'Acceleration': '(-0.2666016, -0.2062988, 0.9683838)', 'Roll': '15.39253', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.81507'}
