Testing SD card write operations: 2022-09-18 20:06:25
2022-09-18 20:09:33: {'ssid':'B56', 'bssid':'a44259fb9b203975f2c2e9d985f6337cc20ae864bd528d60d811b957135a17c9', 'sec':3, 'channel':1, 'rssi':-89}
2022-09-18 20:09:35: {'ssid':'B53', 'bssid':'5b9680348e61cb6a2383bd4a92aa156fa30a9daf7a2b47525c224b1be85ca6db', 'sec':0, 'channel':6, 'rssi':-75}
2022-09-18 20:09:35: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-81}
2022-09-18 20:09:37: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-61}
2022-09-18 20:09:37: {'ssid':'B53', 'bssid':'5b9680348e61cb6a2383bd4a92aa156fa30a9daf7a2b47525c224b1be85ca6db', 'sec':0, 'channel':6, 'rssi':-66}
2022-09-18 20:09:37: {'ssid':'B57', 'bssid':'04e0adf8d6d47597a38949e1f83b320bc96fa367ed22f55b2e67d8462bede147', 'sec':3, 'channel':11, 'rssi':-73}
2022-09-18 20:09:37: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-79}
2022-09-18 20:09:39: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-60}
2022-09-18 20:09:39: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-74}
2022-09-18 20:09:42: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-73}
2022-09-18 20:09:48: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-61}
2022-09-18 20:09:50: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-18 20:09:50: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-76}
2022-09-18 20:09:54: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-18 20:09:55: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-71}
2022-09-18 20:09:59: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-63}
2022-09-18 20:09:59: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-73}
2022-09-18 20:10:01: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-73}
2022-09-18 20:10:03: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-64}
2022-09-18 20:10:03: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-78}
2022-09-18 20:10:05: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-62}
