Testing SD card write operations: 2022-04-04 01:13:47
2022-04-04 01:14:58: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-80}
2022-04-04 01:15:00: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-51}
2022-04-04 01:15:00: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-04 01:15:02: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-35}
2022-04-04 01:15:02: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-81}
2022-04-04 01:15:02: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-82}
2022-04-04 01:15:04: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-45}
2022-04-04 01:15:04: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-83}
2022-04-04 01:15:04: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-04 01:15:06: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-70}
2022-04-04 01:15:06: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-83}
2022-04-04 01:15:06: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-04 01:15:07: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-35}
2022-04-04 01:15:07: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-78}
2022-04-04 01:15:07: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-78}
2022-04-04 01:15:09: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-20}
2022-04-04 01:15:09: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-76}
2022-04-04 01:15:09: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-76}
2022-04-04 01:15:11: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-20}
2022-04-04 01:15:11: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-76}
2022-04-04 01:15:11: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-77}
2022-04-04 01:15:13: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-35}
2022-04-04 01:15:13: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-76}
2022-04-04 01:15:13: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-76}
2022-04-04 01:15:15: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-33}
2022-04-04 01:15:15: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-74}
2022-04-04 01:15:15: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-74}
2022-04-04 01:15:17: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-36}
2022-04-04 01:15:17: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-74}
2022-04-04 01:15:17: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-74}
2022-04-04 01:15:19: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-40}
2022-04-04 01:15:21: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-31}
2022-04-04 01:15:21: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-76}
2022-04-04 01:15:21: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-77}
2022-04-04 01:15:22: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-33}
2022-04-04 01:15:22: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-77}
2022-04-04 01:15:22: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-77}
2022-04-04 01:15:24: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-29}
2022-04-04 01:15:24: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-81}
2022-04-04 01:15:24: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-81}
2022-04-04 01:15:26: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-36}
2022-04-04 01:15:26: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-83}
2022-04-04 01:15:26: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-04 01:15:28: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-44}
2022-04-04 01:15:28: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-04 01:15:28: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-80}
2022-04-04 01:15:30: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-40}
2022-04-04 01:15:30: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-82}
2022-04-04 01:15:30: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-82}
2022-04-04 01:15:32: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-32}
2022-04-04 01:15:32: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-81}
2022-04-04 01:15:32: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-04 01:15:34: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-45}
2022-04-04 01:15:34: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-82}
2022-04-04 01:15:34: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-04 01:15:36: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-20}
2022-04-04 01:15:36: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-04 01:15:36: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-80}
2022-04-04 01:15:38: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-29}
2022-04-04 01:15:38: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-87}
2022-04-04 01:15:38: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-87}
2022-04-04 01:15:39: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-20}
2022-04-04 01:15:39: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-83}
2022-04-04 01:15:39: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-04 01:15:41: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-36}
2022-04-04 01:15:43: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-35}
2022-04-04 01:15:43: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-78}
2022-04-04 01:15:43: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-78}
2022-04-04 01:15:45: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-32}
2022-04-04 01:15:45: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-04 01:15:45: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-80}
2022-04-04 01:15:47: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-29}
2022-04-04 01:15:47: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-84}
2022-04-04 01:15:47: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-84}
2022-04-04 01:15:49: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-35}
2022-04-04 01:15:49: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-81}
2022-04-04 01:15:49: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-82}
