Testing SD card write operations: 2022-04-04 01:13:48
2022-04-04 01:15:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'586ca53a5155', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'586ca53a5155', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'586ca53a5155', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1cbd11fb85f6', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:15:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:15:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e0a50179608a', 'rssi': -29, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:15:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -29, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
