Testing SD card write operations: 2022-08-13 13:20:36
2022-08-13 13:23:27: {'ssid':'C24', 'bssid':'1ac3cdbf31789f514d464822b0e35eec603bb8d9054bed827d1bda1deb3ada00', 'sec':3, 'channel':2, 'rssi':-90}
2022-08-13 13:23:30: {'ssid':'C24', 'bssid':'1ac3cdbf31789f514d464822b0e35eec603bb8d9054bed827d1bda1deb3ada00', 'sec':3, 'channel':2, 'rssi':-93}
2022-08-13 13:23:36: {'ssid':'C24', 'bssid':'1ac3cdbf31789f514d464822b0e35eec603bb8d9054bed827d1bda1deb3ada00', 'sec':3, 'channel':2, 'rssi':-88}
2022-08-13 13:23:41: {'ssid':'C24', 'bssid':'1ac3cdbf31789f514d464822b0e35eec603bb8d9054bed827d1bda1deb3ada00', 'sec':3, 'channel':2, 'rssi':-90}
2022-08-13 13:23:49: {'ssid':'C25', 'bssid':'1b4a1af0cbe62f6159ac5442696faf3423d2204473b66efe9622deb1811aac5a', 'sec':4, 'channel':4, 'rssi':-90}
2022-08-13 13:23:52: {'ssid':'C28', 'bssid':'924524d6382bedd3b276d79f38a45ee16e639762689b45028641f99fe896713e', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:23:54: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-89}
2022-08-13 13:26:09: {'ssid':'C21', 'bssid':'54f62dba2d3cae4f359ac2dc93ff72758f5d79f7cc020d0526a8fe2c912fc993', 'sec':3, 'channel':6, 'rssi':-51}
2022-08-13 13:26:11: {'ssid':'C21', 'bssid':'54f62dba2d3cae4f359ac2dc93ff72758f5d79f7cc020d0526a8fe2c912fc993', 'sec':3, 'channel':6, 'rssi':-50}
2022-08-13 13:26:13: {'ssid':'C21', 'bssid':'54f62dba2d3cae4f359ac2dc93ff72758f5d79f7cc020d0526a8fe2c912fc993', 'sec':3, 'channel':6, 'rssi':-46}
2022-08-13 13:26:15: {'ssid':'C21', 'bssid':'54f62dba2d3cae4f359ac2dc93ff72758f5d79f7cc020d0526a8fe2c912fc993', 'sec':3, 'channel':6, 'rssi':-47}
2022-08-13 13:26:16: {'ssid':'C21', 'bssid':'54f62dba2d3cae4f359ac2dc93ff72758f5d79f7cc020d0526a8fe2c912fc993', 'sec':3, 'channel':6, 'rssi':-48}
2022-08-13 13:26:18: {'ssid':'C21', 'bssid':'54f62dba2d3cae4f359ac2dc93ff72758f5d79f7cc020d0526a8fe2c912fc993', 'sec':3, 'channel':6, 'rssi':-48}
2022-08-13 13:26:20: {'ssid':'C21', 'bssid':'54f62dba2d3cae4f359ac2dc93ff72758f5d79f7cc020d0526a8fe2c912fc993', 'sec':3, 'channel':6, 'rssi':-45}
2022-08-13 13:26:28: {'ssid':'C213', 'bssid':'9ec9f3969be6e02c8ded3a003d92425cb9b32899f92219b8744891bb58fca902', 'sec':4, 'channel':9, 'rssi':-89}
2022-08-13 13:26:29: {'ssid':'C214', 'bssid':'420ca8be03e39469d2de612f057b0727cdc607736ee32884edb089aa8e1c8807', 'sec':4, 'channel':9, 'rssi':-96}
2022-08-13 13:26:31: {'ssid':'C215', 'bssid':'f08e4b6ffe8d706926dbab464fb918d4e08bf308877842b6b46f042dd748771c', 'sec':4, 'channel':4, 'rssi':-86}
2022-08-13 13:26:37: {'ssid':'C214_26B170', 'bssid':'78894de4c2d1d0266d48381a48a43c3e24db2bf36782ee6b775dbf980b30dac0', 'sec':2, 'channel':1, 'rssi':-91}
2022-08-13 13:27:39: {'ssid':'C217', 'bssid':'31979280280b9ca3ebb4e25d45c5b2ffe7ed67cc7a7737a51fda4f75f40e2c4a', 'sec':4, 'channel':7, 'rssi':-76}
2022-08-13 13:27:39: {'ssid':'C218', 'bssid':'ac534485972b737bee215fcb81b5179182b79d5ca818b0af65eab4e3cebfa085', 'sec':3, 'channel':10, 'rssi':-96}
2022-08-13 13:27:41: {'ssid':'C217', 'bssid':'31979280280b9ca3ebb4e25d45c5b2ffe7ed67cc7a7737a51fda4f75f40e2c4a', 'sec':4, 'channel':7, 'rssi':-74}
2022-08-13 13:27:41: {'ssid':'C218', 'bssid':'ac534485972b737bee215fcb81b5179182b79d5ca818b0af65eab4e3cebfa085', 'sec':3, 'channel':10, 'rssi':-88}
2022-08-13 13:27:43: {'ssid':'C217', 'bssid':'31979280280b9ca3ebb4e25d45c5b2ffe7ed67cc7a7737a51fda4f75f40e2c4a', 'sec':4, 'channel':7, 'rssi':-91}
2022-08-13 13:28:55: {'ssid':'C219', 'bssid':'b64407ba844ec1d5e9e186753cc9f06e81103b289138cc29c84ea48a3949f075', 'sec':4, 'channel':1, 'rssi':-80}
2022-08-13 13:28:57: {'ssid':'C219', 'bssid':'b64407ba844ec1d5e9e186753cc9f06e81103b289138cc29c84ea48a3949f075', 'sec':4, 'channel':1, 'rssi':-81}
2022-08-13 13:28:57: {'ssid':'C220', 'bssid':'44b13e8520bfb32bc45ca6342002bcc8937fb1de8732de4382b1788af82d6003', 'sec':4, 'channel':1, 'rssi':-92}
2022-08-13 13:29:15: {'ssid':'C214_4C1498 0 0 0', 'bssid':'ba93dd5b641a30b4b855d5f926ce17a4b376b05ae876304769042a1e485c8902', 'sec':2, 'channel':1, 'rssi':-77}
2022-08-13 13:29:17: {'ssid':'C214_4C1498 0 0 0', 'bssid':'ba93dd5b641a30b4b855d5f926ce17a4b376b05ae876304769042a1e485c8902', 'sec':2, 'channel':1, 'rssi':-88}
2022-08-13 13:29:55: {'ssid':'C222', 'bssid':'fe3355709d0911432c2f63dcdcbe38d861432e5621a76c6efbe5077407de236b', 'sec':3, 'channel':9, 'rssi':-84}
2022-08-13 13:29:57: {'ssid':'C222', 'bssid':'fe3355709d0911432c2f63dcdcbe38d861432e5621a76c6efbe5077407de236b', 'sec':3, 'channel':9, 'rssi':-81}
2022-08-13 13:30:17: {'ssid':'C223', 'bssid':'15bca4faec0ee7ce1cf1c703aa43f1e4b0510aebb39a1ebb56ad287bdd2aa0cb', 'sec':4, 'channel':11, 'rssi':-90}
2022-08-13 13:30:27: {'ssid':'C224', 'bssid':'129a836448545ea6b3b754269171650812d778fbdf9497dc10fbc085eea9908f', 'sec':4, 'channel':7, 'rssi':-90}
2022-08-13 13:30:29: {'ssid':'C225', 'bssid':'8f467121bb9959c4d2a1372c8e85dce38f6775632a6d61662011c5671171dbc4', 'sec':3, 'channel':2, 'rssi':-90}
2022-08-13 13:30:30: {'ssid':'C225', 'bssid':'8f467121bb9959c4d2a1372c8e85dce38f6775632a6d61662011c5671171dbc4', 'sec':3, 'channel':2, 'rssi':-84}
2022-08-13 13:30:41: {'ssid':'C226', 'bssid':'93af83bf7d60080630495a2cb4b96261d0f4f7d814fcea81fd6490a6a73b1d1e', 'sec':3, 'channel':8, 'rssi':-90}
2022-08-13 13:30:43: {'ssid':'C226', 'bssid':'93af83bf7d60080630495a2cb4b96261d0f4f7d814fcea81fd6490a6a73b1d1e', 'sec':3, 'channel':8, 'rssi':-72}
2022-08-13 13:30:49: {'ssid':'C227', 'bssid':'f3e0e95c4a4daef086ec16b54f42e1e4f1e0ec894af7bb1be46bf8d499d499ae', 'sec':4, 'channel':11, 'rssi':-92}
2022-08-13 13:30:56: {'ssid':'C228', 'bssid':'6e2b07816635a186c2e947424895eaca9cc071b989126e0e05a11a6f969c5655', 'sec':4, 'channel':5, 'rssi':-90}
