Testing SD card write operations: 2022-07-06 14:08:49
2022-07-06 14:09:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8f4eb1b32d0cc89726a7a6af36df03e42f967ac01233cc8f86c0a50cc4371a72', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e62ca6fa0e12274270d9b405b2cf1a452a94026e2b288cb6f5ab795b9a62e2fe', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:09:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9444437c3925e9840cb360d30c3cc80596c4a953e0b858cc950a02e4bc8b69a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7dae0af6082b96cd9ad09c20e833cbeadf0fef855df5bf7a9bfd55b9655a7936', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:09:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '67fc7aacb15bc541f12fd7b5ef5c4b5e47d91315dd161eb877884a6c0f5933b7', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '66d9b6f57450e368a0926e263a0b93f30ad9bb18578cadc25139c2774226cdb3', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
