Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:19:31: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:19:33: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-50}
2022-06-25 14:19:34: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:19:36: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:19:38: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 14:19:40: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:19:42: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:19:44: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:19:46: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:19:47: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:19:49: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:19:51: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-25 14:19:53: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:19:55: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-25 14:19:57: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:19:57: {'ssid':'BS21', 'bssid':'258bc5ec68278057bb089640774f3fc43509349a3fbd49ab45eb7ea9', 'sec':2, 'channel':1, 'rssi':-94}
2022-06-25 14:19:58: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:20:00: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 14:20:02: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-36}
