Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:19:24: {'Acceleration': '(0.02270508, -0.1207275, 1.004395)', 'Roll': '-1.294993', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.826201'}
2022-06-25 14:19:25: {'Acceleration': '(0.02392578, -0.1209717, 1.004028)', 'Roll': '-1.365088', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '7.049535'}
2022-06-25 14:19:26: {'Acceleration': '(0.0222168, -0.1248779, 1.002808)', 'Roll': '-1.269157', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.096681'}
2022-06-25 14:19:27: {'Acceleration': '(0.02038574, -0.1209717, 1.006714)', 'Roll': '-1.250346', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.850471'}
2022-06-25 14:19:28: {'Acceleration': '(0.0234375, -0.1239014, 0.998291)', 'Roll': '-1.344922', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '7.073069'}
2022-06-25 14:19:29: {'Acceleration': '(0.02563477, -0.1234131, 1.004395)', 'Roll': '-1.193058', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.62476'}
2022-06-25 14:19:29: {'Acceleration': '(0.02307129, -0.1224365, 1.004883)', 'Roll': '-1.315233', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.054351'}
2022-06-25 14:19:30: {'Acceleration': '(0.0213623, -0.1241455, 1.004517)', 'Roll': '-1.218283', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.012014'}
2022-06-25 14:19:31: {'Acceleration': '(0.02331543, -0.1219482, 1.006592)', 'Roll': '-1.32689', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.905865'}
2022-06-25 14:19:32: {'Acceleration': '(0.01879883, -0.1220703, 1.012939)', 'Roll': '-1.063212', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.870461'}
2022-06-25 14:19:33: {'Acceleration': '(0.02539063, -0.1230469, 1.006104)', 'Roll': '-1.445643', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.970473'}
2022-06-25 14:19:34: {'Acceleration': '(0.02075195, -0.1221924, 1.014771)', 'Roll': '-1.598115', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.156623'}
2022-06-25 14:19:35: {'Acceleration': '(0.02258301, -0.1226807, 1.009033)', 'Roll': '-1.287407', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.890191'}
2022-06-25 14:19:35: {'Acceleration': '(0.02368164, -0.1219482, 1.004395)', 'Roll': '-1.394137', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '7.058901'}
2022-06-25 14:19:36: {'Acceleration': '(0.02185059, -0.1239014, 1.006104)', 'Roll': '-1.244156', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.867847'}
