Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:16:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '145b4bc3ca3f4237b5b9d09c9b1e125e0cbff1d17293455e7cff10449048832e', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:16:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6336bad3a7ccbdbef82b4c422f9415b89b20bbf384631eec33610d0c4d37f6da', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '752d7c9e6c686c4811d37fe8fd1c5a75d32d5914e0f45d9e2d4ce6b847311448', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:16:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '23fa621e098da85697e62d695e70db2fbfcbd0a5faa46fca537ab9bcdafd00b5', 'rssi': -46, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '145b4bc3ca3f4237b5b9d09c9b1e125e0cbff1d17293455e7cff10449048832e', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '2853710933431e50ef625ddf73273f23305efac81df0837cb88ba4bdb69a42d3', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:17:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '752d7c9e6c686c4811d37fe8fd1c5a75d32d5914e0f45d9e2d4ce6b847311448', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:17:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6336bad3a7ccbdbef82b4c422f9415b89b20bbf384631eec33610d0c4d37f6da', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:17:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6336bad3a7ccbdbef82b4c422f9415b89b20bbf384631eec33610d0c4d37f6da', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:17:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:17:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:17:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6336bad3a7ccbdbef82b4c422f9415b89b20bbf384631eec33610d0c4d37f6da', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:17:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '145b4bc3ca3f4237b5b9d09c9b1e125e0cbff1d17293455e7cff10449048832e', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6cdced827a922141002306b6cd0932dfde87767376af2fd617be3381727801ef', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'be22961ad8bf0cf920a2d439ce41f578d8a56cd8d3a66ca84464ea3cb7483f14', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '23fa621e098da85697e62d695e70db2fbfcbd0a5faa46fca537ab9bcdafd00b5', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'be22961ad8bf0cf920a2d439ce41f578d8a56cd8d3a66ca84464ea3cb7483f14', 'rssi': -41, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'be22961ad8bf0cf920a2d439ce41f578d8a56cd8d3a66ca84464ea3cb7483f14', 'rssi': -46, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '23fa621e098da85697e62d695e70db2fbfcbd0a5faa46fca537ab9bcdafd00b5', 'rssi': -42, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:17:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'be22961ad8bf0cf920a2d439ce41f578d8a56cd8d3a66ca84464ea3cb7483f14', 'rssi': -41, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:17:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '752d7c9e6c686c4811d37fe8fd1c5a75d32d5914e0f45d9e2d4ce6b847311448', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:17:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'be22961ad8bf0cf920a2d439ce41f578d8a56cd8d3a66ca84464ea3cb7483f14', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:17:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '752d7c9e6c686c4811d37fe8fd1c5a75d32d5914e0f45d9e2d4ce6b847311448', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
