Testing SD card write operations: 2022-06-27 12:55:01
2022-06-27 12:58:15: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-27 12:58:17: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-51}
2022-06-27 12:58:17: {'ssid':'P421', 'bssid':'19b792383bc4013698ca32cd3d84033227197c941d362b405c7e4bba7a03555d', 'sec':4, 'channel':6, 'rssi':-93}
2022-06-27 12:58:19: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-27 12:58:19: {'ssid':'P411', 'bssid':'ea9bf802c5c55e9218e9d295109f28fdd13b60ff8f1a0c92f001fb87b9a8a863', 'sec':2, 'channel':6, 'rssi':-82}
2022-06-27 12:58:21: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-50}
2022-06-27 12:58:21: {'ssid':'P411', 'bssid':'ea9bf802c5c55e9218e9d295109f28fdd13b60ff8f1a0c92f001fb87b9a8a863', 'sec':2, 'channel':6, 'rssi':-74}
2022-06-27 12:58:21: {'ssid':'P422', 'bssid':'9ef2189c0d63d4072bc98321b31dc6db1e7a446159afba6f85015ecdfabfa027', 'sec':4, 'channel':6, 'rssi':-93}
2022-06-27 12:58:22: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-27 12:58:22: {'ssid':'P411', 'bssid':'ea9bf802c5c55e9218e9d295109f28fdd13b60ff8f1a0c92f001fb87b9a8a863', 'sec':2, 'channel':6, 'rssi':-84}
2022-06-27 12:58:22: {'ssid':'P410', 'bssid':'56056379fe9710e39e6aee60f58e83b9c229230e87919e1b88e7be9db82e03f3', 'sec':0, 'channel':1, 'rssi':-87}
2022-06-27 12:58:24: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-40}
