Testing SD card write operations: 2022-06-25 17:07:04
2022-06-25 17:09:31: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:09:33: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:09:34: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:09:36: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:09:38: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 17:09:38: {'ssid':'B325', 'bssid':'7a2a82e95c83806ad5c2f1ca5a43671a8b918c8713a03ae1acc1ff6c7786e462', 'sec':3, 'channel':1, 'rssi':-91}
2022-06-25 17:09:40: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 17:09:42: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:09:44: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 17:09:44: {'ssid':'B325', 'bssid':'7a2a82e95c83806ad5c2f1ca5a43671a8b918c8713a03ae1acc1ff6c7786e462', 'sec':3, 'channel':1, 'rssi':-90}
2022-06-25 17:09:44: {'ssid':'B31', 'bssid':'08890383f5d6ab3d0eb8550762c35c3e19019a74b80f9f7f262e6304eb93e60a', 'sec':5, 'channel':1, 'rssi':-92}
2022-06-25 17:09:44: {'ssid':'B33', 'bssid':'4ed9ee12ab22e66dd94191731d37c13b34db946e98f50427a03d4e8b2274525b', 'sec':0, 'channel':1, 'rssi':-93}
2022-06-25 17:09:44: {'ssid':'B326', 'bssid':'4d1a1d5ed2fe6a730069e33a555dedda8ba0a87972950da8814322ba3a314454', 'sec':4, 'channel':11, 'rssi':-95}
