Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:25:15: {'ssid':'P15', 'bssid':'4689c5d1ff1ea3ebc71d06b08a8730be07d417f0ccb7f656827a9e7a372c95c9', 'sec':5, 'channel':1, 'rssi':-92}
2022-07-07 09:25:17: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-07 09:25:17: {'ssid':'P15', 'bssid':'4689c5d1ff1ea3ebc71d06b08a8730be07d417f0ccb7f656827a9e7a372c95c9', 'sec':5, 'channel':1, 'rssi':-90}
2022-07-07 09:25:19: {'ssid':'P14', 'bssid':'57b81faa2ab123bfd7df2ea3ec16020f9460b3c6ab31fc8d5b37f1289109427f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-07 09:25:19: {'ssid':'P15', 'bssid':'4689c5d1ff1ea3ebc71d06b08a8730be07d417f0ccb7f656827a9e7a372c95c9', 'sec':5, 'channel':1, 'rssi':-92}
2022-07-07 09:25:21: {'ssid':'P15', 'bssid':'03f10dd9fa7e8faed06eb46ce5726c92087288de9c20776331389e8727edc237', 'sec':5, 'channel':6, 'rssi':-92}
2022-07-07 09:25:21: {'ssid':'P14', 'bssid':'4eae5723c6c522f57e0e4435ca54b6e1f059426bc87ecba744e6f1d747c6af3b', 'sec':0, 'channel':1, 'rssi':-93}
2022-07-07 09:25:21: {'ssid':'P15', 'bssid':'8473e24fba3cafced773f715b5395b5fbf2a9665ecd34667015b1b90c84b506d', 'sec':5, 'channel':1, 'rssi':-94}
2022-07-07 09:25:21: {'ssid':'P14', 'bssid':'8ff7c7805648c02ef23bce17893337ad1ea9dc14e830372d103ef39900efc9b8', 'sec':0, 'channel':6, 'rssi':-94}
2022-07-07 09:25:23: {'ssid':'P15', 'bssid':'8473e24fba3cafced773f715b5395b5fbf2a9665ecd34667015b1b90c84b506d', 'sec':5, 'channel':1, 'rssi':-91}
2022-07-07 09:25:23: {'ssid':'P14', 'bssid':'4eae5723c6c522f57e0e4435ca54b6e1f059426bc87ecba744e6f1d747c6af3b', 'sec':0, 'channel':1, 'rssi':-93}
2022-07-07 09:25:25: {'ssid':'P14', 'bssid':'8ff7c7805648c02ef23bce17893337ad1ea9dc14e830372d103ef39900efc9b8', 'sec':0, 'channel':6, 'rssi':-93}
2022-07-07 09:25:27: {'ssid':'P15', 'bssid':'9b11c00eaae42d606221a0e3b3b4cd3acbdf4c28d61e13ad6929869d7dd34275', 'sec':5, 'channel':6, 'rssi':-91}
2022-07-07 09:25:27: {'ssid':'P14', 'bssid':'6ba52866175dcb9e88737d538ae7955f671e5bad227ffc8944f00c4e3631a87f', 'sec':0, 'channel':6, 'rssi':-93}
2022-07-07 09:25:27: {'ssid':'P15', 'bssid':'f6ab77822e967ad5302c80d6644d85e0a7b04dc182546d411dcca6b2016a0169', 'sec':5, 'channel':6, 'rssi':-93}
2022-07-07 09:25:29: {'ssid':'P19', 'bssid':'962d7c851099283e28275ab8a84019b9e1bffea1837495743d0dd6690f7d9e55', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-07 09:25:29: {'ssid':'P110', 'bssid':'e2642d20b5c569fe803fb12f6f09d0e70e855af2fd9b3e26a8bf78d55b76f1cd', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-07 09:25:29: {'ssid':'P15', 'bssid':'472798d9986c3249654cb36842bb0f2e1699efed8db592a575e7916b99ab18ef', 'sec':5, 'channel':1, 'rssi':-91}
2022-07-07 09:25:43: {'ssid':'P14', 'bssid':'a3855541055e8da220a5903490649d6f6e6bc7523bd60fc11df7dc0b25015e17', 'sec':0, 'channel':11, 'rssi':-94}
2022-07-07 09:25:43: {'ssid':'P15', 'bssid':'720a36446900810b031defd29bc6bd30c671529af5d22835f24d2d4c2beef990', 'sec':5, 'channel':11, 'rssi':-96}
2022-07-07 09:25:45: {'ssid':'P19', 'bssid':'962d7c851099283e28275ab8a84019b9e1bffea1837495743d0dd6690f7d9e55', 'sec':0, 'channel':1, 'rssi':-91}
2022-07-07 09:25:47: {'ssid':'P110', 'bssid':'e2642d20b5c569fe803fb12f6f09d0e70e855af2fd9b3e26a8bf78d55b76f1cd', 'sec':0, 'channel':1, 'rssi':-90}
