Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:15:11: {'ssid':'B622', 'bssid':'f2ab20738429431121266e762f0f59e173f807448f6fc8fc8c07861b', 'sec':4, 'channel':1, 'rssi':-91}
2022-07-07 09:15:12: {'ssid':'B627', 'bssid':'06e8953b9deaac93a8e8dc6a17f7c0953fc373ff1820e733ddb1ab83', 'sec':4, 'channel':1, 'rssi':-86}
2022-07-07 09:15:12: {'ssid':'B628', 'bssid':'4daa03d892f5f2d2a08686cd5189c488a838218a140736eb8f38c949', 'sec':4, 'channel':1, 'rssi':-87}
2022-07-07 09:15:12: {'ssid':'B625', 'bssid':'e18b3051bc24bc4a2410f955f61f3268bf41ee8eaf77748f2fdc50a7', 'sec':4, 'channel':1, 'rssi':-91}
2022-07-07 09:15:16: {'ssid':'B629', 'bssid':'89446095f5869006f8d8b36cdf167b0f078b55c6bf40de668d266b61', 'sec':4, 'channel':6, 'rssi':-94}
2022-07-07 09:15:25: {'ssid':'B630', 'bssid':'15f04269ee053effa0700673c59fbcbb6ddb68e7dce4b275f35c2fb4', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-07 09:15:27: {'ssid':'B630', 'bssid':'15f04269ee053effa0700673c59fbcbb6ddb68e7dce4b275f35c2fb4', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-07 09:15:57: {'ssid':'B631', 'bssid':'301780989ed91a9981e25511f06e4b942a55ac3a465c7c0bfcff9e79', 'sec':4, 'channel':1, 'rssi':-90}
2022-07-07 09:16:04: {'ssid':'B632', 'bssid':'73edce032eca2c36b4814dccbf787a1468c4278c717795ee37ec9a43', 'sec':3, 'channel':6, 'rssi':-92}
2022-07-07 09:16:08: {'ssid':'B633', 'bssid':'f2f5e00273793fce8fb6c01cdf115e9853cb409df8487886dc867104', 'sec':3, 'channel':11, 'rssi':-91}
2022-07-07 09:16:09: {'ssid':'B610', 'bssid':'414ff46fbd9541baba5be5ff15274fac63deb775f96b7ecdddb1bdfc', 'sec':5, 'channel':1, 'rssi':-93}
2022-07-07 09:16:11: {'ssid':'B634', 'bssid':'29affa888c3171e0c6232d7416ec748687ddfd329da1bea37e6e445b', 'sec':4, 'channel':11, 'rssi':-90}
2022-07-07 09:16:13: {'ssid':'B634', 'bssid':'29affa888c3171e0c6232d7416ec748687ddfd329da1bea37e6e445b', 'sec':4, 'channel':11, 'rssi':-87}
2022-07-07 09:16:15: {'ssid':'B634', 'bssid':'29affa888c3171e0c6232d7416ec748687ddfd329da1bea37e6e445b', 'sec':4, 'channel':11, 'rssi':-78}
2022-07-07 09:16:37: {'ssid':'B635', 'bssid':'57554a28a461a1f8ef16d1192c85806d5c354fc730119461a724b239', 'sec':3, 'channel':11, 'rssi':-77}
2022-07-07 09:16:37: {'ssid':'B636', 'bssid':'90864bbd33827de9277e66824ea410ef0bc4d9717815b6e4f4debb49', 'sec':3, 'channel':6, 'rssi':-92}
2022-07-07 09:16:39: {'ssid':'B635', 'bssid':'57554a28a461a1f8ef16d1192c85806d5c354fc730119461a724b239', 'sec':3, 'channel':11, 'rssi':-79}
2022-07-07 09:16:39: {'ssid':'B637', 'bssid':'92ad3d8f398fa8ff6d9ec1a71d9eff5e4d330d8a1a753bc33464c281', 'sec':0, 'channel':11, 'rssi':-82}
2022-07-07 09:16:41: {'ssid':'B637', 'bssid':'92ad3d8f398fa8ff6d9ec1a71d9eff5e4d330d8a1a753bc33464c281', 'sec':0, 'channel':11, 'rssi':-76}
2022-07-07 09:16:41: {'ssid':'B635', 'bssid':'57554a28a461a1f8ef16d1192c85806d5c354fc730119461a724b239', 'sec':3, 'channel':11, 'rssi':-76}
2022-07-07 09:16:41: {'ssid':'B638', 'bssid':'37449607e7ee45932c51d042fc14b701cd806aebb3e379620eed6d3a', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-07 09:16:41: {'ssid':'B639', 'bssid':'1b516d110357850b801d899647e7e0f3db84d926866835d13a45dd3a', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-07 09:16:43: {'ssid':'B635', 'bssid':'57554a28a461a1f8ef16d1192c85806d5c354fc730119461a724b239', 'sec':3, 'channel':11, 'rssi':-77}
2022-07-07 09:16:45: {'ssid':'B640', 'bssid':'e38eda09efd75130df9d4659cdbf80e186f8c7a5533f07c85db85a6a', 'sec':3, 'channel':6, 'rssi':-87}
2022-07-07 09:16:46: {'ssid':'B635', 'bssid':'57554a28a461a1f8ef16d1192c85806d5c354fc730119461a724b239', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-07 09:16:46: {'ssid':'B637', 'bssid':'92ad3d8f398fa8ff6d9ec1a71d9eff5e4d330d8a1a753bc33464c281', 'sec':0, 'channel':11, 'rssi':-82}
2022-07-07 09:16:48: {'ssid':'B637', 'bssid':'92ad3d8f398fa8ff6d9ec1a71d9eff5e4d330d8a1a753bc33464c281', 'sec':0, 'channel':11, 'rssi':-80}
2022-07-07 09:16:50: {'ssid':'B636', 'bssid':'90864bbd33827de9277e66824ea410ef0bc4d9717815b6e4f4debb49', 'sec':3, 'channel':6, 'rssi':-87}
2022-07-07 09:16:52: {'ssid':'B637', 'bssid':'92ad3d8f398fa8ff6d9ec1a71d9eff5e4d330d8a1a753bc33464c281', 'sec':0, 'channel':11, 'rssi':-83}
2022-07-07 09:16:54: {'ssid':'B640', 'bssid':'e38eda09efd75130df9d4659cdbf80e186f8c7a5533f07c85db85a6a', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-07 09:16:54: {'ssid':'B635', 'bssid':'57554a28a461a1f8ef16d1192c85806d5c354fc730119461a724b239', 'sec':3, 'channel':11, 'rssi':-86}
2022-07-07 09:16:58: {'ssid':'B639', 'bssid':'1b516d110357850b801d899647e7e0f3db84d926866835d13a45dd3a', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-07 09:16:58: {'ssid':'B641', 'bssid':'00fd57272623d491ff8d35ac3219f4bd2b705f6bcd048ae6ea304932', 'sec':3, 'channel':6, 'rssi':-91}
2022-07-07 09:16:58: {'ssid':'B66', 'bssid':'a3cf7e03da984571d549c9f677d2cf1336d391e60e1457bf05d3598e', 'sec':5, 'channel':11, 'rssi':-97}
2022-07-07 09:16:59: {'ssid':'B642', 'bssid':'db71cf07686e7d3e42a4459a4884ca144df673daa076c06266b8e254', 'sec':4, 'channel':6, 'rssi':-89}
2022-07-07 09:17:01: {'ssid':'B637', 'bssid':'92ad3d8f398fa8ff6d9ec1a71d9eff5e4d330d8a1a753bc33464c281', 'sec':0, 'channel':11, 'rssi':-84}
2022-07-07 09:17:03: {'ssid':'B635', 'bssid':'57554a28a461a1f8ef16d1192c85806d5c354fc730119461a724b239', 'sec':3, 'channel':11, 'rssi':-94}
