Testing SD card write operations: 2022-09-12 07:57:14
2022-09-12 08:01:25: {'ssid':'P101', 'bssid':'7d6819fa916f601fd939eba0ab3762dc7a83f5a132a1f8ceab53b1ba72f82279', 'sec':5, 'channel':1, 'rssi':-76}
2022-09-12 08:01:25: {'ssid':'P102', 'bssid':'01470351ad530ecd6afcf5adfc4caf012dd3e8f52a7b194347cc119206b182e7', 'sec':0, 'channel':1, 'rssi':-77}
2022-09-12 08:01:25: {'ssid':'P101', 'bssid':'cc8c29ae190147b2127a99968956b905f92d9dfa2fd36c6d3427ad87a5db114f', 'sec':5, 'channel':11, 'rssi':-88}
2022-09-12 08:01:25: {'ssid':'P101', 'bssid':'658cb7d28efe39dd4f870f609baf9ed4579cce2b55f2d1c479dd68b8674a3000', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 08:01:25: {'ssid':'P102', 'bssid':'1b0eec84e5385abe7d292901ea68799ac88330354c5df92a0ed1336eae66c5d5', 'sec':0, 'channel':1, 'rssi':-89}
2022-09-12 08:01:25: {'ssid':'P101', 'bssid':'2c2baa926afe2544874f8681bd51e6db5cfca503cf5b90ce24475b1d6f4781d6', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 08:01:25: {'ssid':'P102', 'bssid':'77d8e4ccf070fc9c9860b12aee44ac75321de15de7d9cb55a786522d205b3f14', 'sec':0, 'channel':11, 'rssi':-89}
2022-09-12 08:01:29: {'ssid':'P101', 'bssid':'658cb7d28efe39dd4f870f609baf9ed4579cce2b55f2d1c479dd68b8674a3000', 'sec':5, 'channel':1, 'rssi':-86}
2022-09-12 08:01:29: {'ssid':'P102', 'bssid':'3a9fb40613c683f8c524a0cdb9be94b4fc64617180cf5e1abec64553f8851735', 'sec':0, 'channel':1, 'rssi':-89}
2022-09-12 08:01:29: {'ssid':'P102', 'bssid':'01470351ad530ecd6afcf5adfc4caf012dd3e8f52a7b194347cc119206b182e7', 'sec':0, 'channel':1, 'rssi':-91}
2022-09-12 08:01:31: {'ssid':'P101', 'bssid':'7b70e4c2966e1c22b79771e92c7cb96c0ea25b88dc844c9857e4eac6a4370408', 'sec':5, 'channel':1, 'rssi':-87}
2022-09-12 08:01:33: {'ssid':'P101', 'bssid':'658cb7d28efe39dd4f870f609baf9ed4579cce2b55f2d1c479dd68b8674a3000', 'sec':5, 'channel':1, 'rssi':-84}
2022-09-12 08:01:33: {'ssid':'P102', 'bssid':'1b0eec84e5385abe7d292901ea68799ac88330354c5df92a0ed1336eae66c5d5', 'sec':0, 'channel':1, 'rssi':-84}
2022-09-12 08:01:33: {'ssid':'P101', 'bssid':'7b70e4c2966e1c22b79771e92c7cb96c0ea25b88dc844c9857e4eac6a4370408', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 08:01:35: {'ssid':'P102', 'bssid':'eb4fee2ca7ad5a4ab4e353fd288dbf8fcca4213191c33545e3f3e70b45d8a837', 'sec':0, 'channel':1, 'rssi':-83}
2022-09-12 08:01:35: {'ssid':'P101', 'bssid':'658cb7d28efe39dd4f870f609baf9ed4579cce2b55f2d1c479dd68b8674a3000', 'sec':5, 'channel':1, 'rssi':-87}
2022-09-12 08:01:35: {'ssid':'P102', 'bssid':'1b0eec84e5385abe7d292901ea68799ac88330354c5df92a0ed1336eae66c5d5', 'sec':0, 'channel':1, 'rssi':-87}
