Testing SD card write operations: 2023-01-26 08:32:31
2023-01-26 08:33:19: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:20: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:20: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:21: {'name': None, 'adv_flag': None, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'dfb73a9e15d2dbc46848373269868a60204d40369f01903ce48eb160', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:22: {'name': None, 'adv_flag': 26, 'rssi': -67, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:23: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '9b7fac06ee0617b81bd55465b49eca01b2fd1bbc6c5dc0b684468172', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:24: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:24: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:25: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:26: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
