Testing SD card write operations: 2022-04-30 12:30:54
2022-04-30 12:31:45: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-49}
2022-04-30 12:31:45: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-83}
2022-04-30 12:31:45: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-89}
2022-04-30 12:31:47: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-41}
2022-04-30 12:31:47: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-78}
2022-04-30 12:31:47: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-78}
2022-04-30 12:31:47: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-79}
2022-04-30 12:31:47: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-86}
2022-04-30 12:31:49: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-41}
2022-04-30 12:31:49: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-52}
2022-04-30 12:31:49: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-30 12:31:49: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-81}
2022-04-30 12:31:49: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-81}
2022-04-30 12:31:49: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-82}
2022-04-30 12:31:51: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-46}
2022-04-30 12:31:51: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-52}
2022-04-30 12:31:51: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-78}
2022-04-30 12:31:51: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-78}
2022-04-30 12:31:51: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-78}
2022-04-30 12:31:51: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-82}
2022-04-30 12:31:51: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-87}
2022-04-30 12:31:53: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-42}
2022-04-30 12:31:53: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-53}
2022-04-30 12:31:53: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-79}
2022-04-30 12:31:53: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-30 12:31:53: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-80}
2022-04-30 12:31:53: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-83}
2022-04-30 12:31:53: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-88}
2022-04-30 12:31:55: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-41}
2022-04-30 12:31:55: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-50}
2022-04-30 12:31:55: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-30 12:31:55: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-81}
2022-04-30 12:31:55: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-81}
2022-04-30 12:31:55: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-86}
2022-04-30 12:31:55: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-87}
2022-04-30 12:31:57: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-42}
2022-04-30 12:31:57: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-52}
2022-04-30 12:31:57: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-79}
2022-04-30 12:31:57: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-79}
2022-04-30 12:31:57: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-80}
