Testing SD card write operations: 2022-07-07 18:45:01
2022-07-07 18:46:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'de72a8b604f5689cabc38ce6032567d62b22bbfcd35e1726dfffa2ef807fcb4c', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:46:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '520d44a0c627a8a3f7c262a5ff954e0ef1386358a76d1fe04ab2c2c2a56b62c7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:46:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '520d44a0c627a8a3f7c262a5ff954e0ef1386358a76d1fe04ab2c2c2a56b62c7', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:46:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8262f524b6e1dd17f2a3041d5301f60ef77fade889f81b4dffe33e5572107df3', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:46:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'de72a8b604f5689cabc38ce6032567d62b22bbfcd35e1726dfffa2ef807fcb4c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:46:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5afe866efaf7eb0baa027605a155330691a3ac471b8f129b78a2b3ac405187ba', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:46:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'de72a8b604f5689cabc38ce6032567d62b22bbfcd35e1726dfffa2ef807fcb4c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:46:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5dcad3635a110f9acaee50dbe15d870a373c2fdae652bb164cb6c691bbe4e1bd', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:46:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1527f19e77794ec7945ffa7adee0f09464afae8b2fff02eddf38ffe22125ae29', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:46:09: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '62357e5f288fc7229ea1244f5cb0e2d2d4d7880a9bdd4253ec8af2ecd42a1927', 'rssi': -88, 'name': 'BB70', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
