Testing SD card write operations: 2022-07-01 13:02:45
2022-07-01 13:04:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:04:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:04:03: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:04:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:04:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'2c289796f174', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:04:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'2c289796f174', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:04:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'358cadc54953', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:04:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'358cadc54953', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:04:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'358cadc54953', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:04:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'2c289796f174', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
