Testing SD card write operations: 2022-07-01 13:03:13
2022-07-01 13:04:30: {'Acceleration': '(-1.014893, -0.2977295, 0.6375732)', 'Roll': '57.86224', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '13.03358'}
2022-07-01 13:04:31: {'Acceleration': '(-0.4058838, -0.100708, 0.5030518)', 'Roll': '38.89808', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.855708'}
2022-07-01 13:04:32: {'Acceleration': '(-0.5340576, -0.3660889, 1.11853)', 'Roll': '25.52278', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.45478'}
2022-07-01 13:04:33: {'Acceleration': '(-0.2000732, -0.1591797, 0.7408447)', 'Roll': '15.11283', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.31483'}
2022-07-01 13:04:33: {'Acceleration': '(-0.5795898, -0.03674316, 0.5438232)', 'Roll': '46.82353', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-4.157911'}
2022-07-01 13:04:34: {'Acceleration': '(-0.3702393, 0.1140137, 0.7102051)', 'Roll': '27.53362', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-7.288503'}
2022-07-01 13:04:35: {'Acceleration': '(-0.3814697, -0.004760742, 0.973999)', 'Roll': '19.68656', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-6.82818'}
2022-07-01 13:04:36: {'Acceleration': '(-0.6645508, -0.6348877, 0.8865967)', 'Roll': '52.297', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '36.78231'}
2022-07-01 13:04:37: {'Acceleration': '(-0.5050049, 0.1087646, 1.153198)', 'Roll': '20.23576', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-6.594464'}
2022-07-01 13:04:38: {'Acceleration': '(-1.297363, -0.524292, 1.456055)', 'Roll': '41.70145', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '15.04768'}
2022-07-01 13:04:39: {'Acceleration': '(-0.4804688, -0.1677246, 0.5465088)', 'Roll': '41.32064', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.9795'}
2022-07-01 13:04:39: {'Acceleration': '(-0.6623535, -0.2900391, 1.075806)', 'Roll': '31.61983', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '12.92981'}
2022-07-01 13:04:40: {'Acceleration': '(-0.3059082, -0.1971436, 0.8262939)', 'Roll': '20.31542', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.27628'}
2022-07-01 13:04:41: {'Acceleration': '(-0.5374756, -0.03063965, 0.7363281)', 'Roll': '36.12721', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-4.970498'}
2022-07-01 13:04:42: {'Acceleration': '(-0.3121338, 0.1921387, 0.8017578)', 'Roll': '33.0349', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-3.826431'}
2022-07-01 13:04:43: {'Acceleration': '(-0.4919434, 0.1580811, 1.158325)', 'Roll': '30.50532', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.173671'}
2022-07-01 13:04:44: {'Acceleration': '(-0.9112549, -0.8588867, 0.7574463)', 'Roll': '55.33502', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '39.75834'}
2022-07-01 13:04:45: {'Acceleration': '(-0.4681396, 0.08276367, 1.127197)', 'Roll': '22.55375', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.879221'}
2022-07-01 13:04:45: {'Acceleration': '(-1.09375, -0.6237793, 1.023804)', 'Roll': '46.89188', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '22.60516'}
2022-07-01 13:04:46: {'Acceleration': '(-0.4703369, -0.1956787, 0.5842285)', 'Roll': '38.83602', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '14.62228'}
2022-07-01 13:04:47: {'Acceleration': '(-0.510498, -0.2645264, 1.057251)', 'Roll': '25.77377', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.443913'}
2022-07-01 13:04:48: {'Acceleration': '(-0.5019531, -0.383667, 0.7640381)', 'Roll': '32.88021', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '24.51043'}
2022-07-01 13:04:49: {'Acceleration': '(-0.5202637, 0.1304932, 0.6115723)', 'Roll': '40.38776', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-13.31873'}
2022-07-01 13:04:50: {'Acceleration': '(-0.4273682, 0.09802246, 0.6972656)', 'Roll': '31.47579', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-6.836911'}
2022-07-01 13:04:51: {'Acceleration': '(-0.5366211, -0.3266602, 1.024658)', 'Roll': '26.88208', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '15.13326'}
2022-07-01 13:04:52: {'Acceleration': '(-0.5296631, 0.0189209, 1.158447)', 'Roll': '22.41949', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.99977'}
2022-07-01 13:04:52: {'Acceleration': '(-0.744873, -0.3110352, 0.7375488)', 'Roll': '45.28308', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '16.52669'}
2022-07-01 13:04:53: {'Acceleration': '(-0.4663086, 0.274292, 1.079346)', 'Roll': '23.36574', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-13.13153'}
2022-07-01 13:04:54: {'Acceleration': '(-0.4216309, -0.6477051, 0.8504639)', 'Roll': '33.35475', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '32.30544'}
2022-07-01 13:04:55: {'Acceleration': '(-0.6591797, 0.2736816, 1.07019)', 'Roll': '31.63083', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-12.28393'}
2022-07-01 13:04:56: {'Acceleration': '(-0.5915527, 0.01391602, 0.9483643)', 'Roll': '31.95431', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.7133071'}
2022-07-01 13:04:57: {'Acceleration': '(-0.4638672, 0.3796387, 1.160889)', 'Roll': '21.78063', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-16.8924'}
2022-07-01 13:04:58: {'Acceleration': '(-0.9781494, -0.854248, 0.8515625)', 'Roll': '41.66077', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '30.89471'}
2022-07-01 13:04:58: {'Acceleration': '(-0.1494141, 0.05737305, 0.6508789)', 'Roll': '12.92868', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.578886'}
2022-07-01 13:04:59: {'Acceleration': '(-0.9570313, -0.3453369, 0.7659912)', 'Roll': '51.32682', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '9.165241'}
2022-07-01 13:05:00: {'Acceleration': '(-0.4197998, -0.1777344, 0.4952393)', 'Roll': '40.28697', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '15.31037'}
