Testing SD card write operations: 2022-05-21 10:26:42
2022-05-21 10:27:00: {'ssid':'P621_RFID', 'bssid':'3ec662f8ee62f83a1818f1160afef0421be247df36b3713ad5d479772084d798', 'sec':5, 'channel':9, 'rssi':-89}
2022-05-21 10:27:00: {'ssid':'P625', 'bssid':'5cfa6560d6adab46a91573e285979e9bf3ef89553557728f2ae4c55926b3f5d8', 'sec':5, 'channel':9, 'rssi':-89}
2022-05-21 10:27:02: {'ssid':'P68', 'bssid':'823c4d4c521c101e54579ec1def591c690112004eecb7fb7f8706bee6d9a8fdc', 'sec':3, 'channel':13, 'rssi':-77}
2022-05-21 10:27:02: {'ssid':'P69', 'bssid':'c4412f717d3e43144835e976eb8589a5f6322ba06088b9c541015e827a21bf48', 'sec':5, 'channel':13, 'rssi':-79}
2022-05-21 10:27:02: {'ssid':'P63', 'bssid':'46e8a11f21617b51d9d75a495992bc6e1d1ad7e492f315b407418b8d946e61f5', 'sec':3, 'channel':13, 'rssi':-80}
2022-05-21 10:27:02: {'ssid':'P626', 'bssid':'832c1ed8aeb687f2cc9faf51643657434bf25484114ffed24e8393907ff54f9f', 'sec':3, 'channel':1, 'rssi':-83}
2022-05-21 10:27:02: {'ssid':'P627', 'bssid':'c8c813c356875f7f3e3a55fe3d893e135c53c25a44844bbeb3b9a3965ed45812', 'sec':4, 'channel':1, 'rssi':-86}
2022-05-21 10:27:02: {'ssid':'P68', 'bssid':'dedd9dc837b6e3566d0ae022bc4869c19a4be8019dc57bba22e418580a5bb21d', 'sec':3, 'channel':13, 'rssi':-86}
2022-05-21 10:27:02: {'ssid':'P615', 'bssid':'2bb287fd381ed201fb03f25ec1a14f2785308046e57460d8ee3be7737d747c2e', 'sec':3, 'channel':6, 'rssi':-87}
2022-05-21 10:27:04: {'ssid':'P628', 'bssid':'2e54e9cb403dac610a27f7d6fd674bf9a7876d8f3e6b5b84e0ed9cb0380a562c', 'sec':4, 'channel':6, 'rssi':-68}
2022-05-21 10:27:04: {'ssid':'P67', 'bssid':'46855325792676cdde4939f086fc0ac008fac09d4a6e61b2bcc055fbd9d372d5', 'sec':0, 'channel':13, 'rssi':-74}
2022-05-21 10:27:04: {'ssid':'P68', 'bssid':'79ffb4722bcc168da04a5157a3d5ee869384947d7b12ea9fc9de83d94a986739', 'sec':3, 'channel':13, 'rssi':-74}
2022-05-21 10:27:04: {'ssid':'P66', 'bssid':'2a671ad49e6e7152cc82c61857700d2e997f198b15ebded01f69f71736c2a06c', 'sec':3, 'channel':13, 'rssi':-75}
2022-05-21 10:27:04: {'ssid':'P69', 'bssid':'617091af4e57cac8b446add0939bb250f881accb05129100e9491cdfcf95a1d1', 'sec':5, 'channel':13, 'rssi':-75}
2022-05-21 10:27:04: {'ssid':'P63', 'bssid':'133f58d02260daaf82990944fe78dc0f0c756b415db0b2cf3534ca4a5d809cbd', 'sec':3, 'channel':13, 'rssi':-75}
2022-05-21 10:27:04: {'ssid':'P627', 'bssid':'c8c813c356875f7f3e3a55fe3d893e135c53c25a44844bbeb3b9a3965ed45812', 'sec':4, 'channel':1, 'rssi':-79}
2022-05-21 10:27:04: {'ssid':'P629', 'bssid':'149119dc0afbcef59bdaa0c43943049835ce3e7cbed3f2eb42c81584ee1428c1', 'sec':4, 'channel':6, 'rssi':-85}
2022-05-21 10:27:04: {'ssid':'P626', 'bssid':'832c1ed8aeb687f2cc9faf51643657434bf25484114ffed24e8393907ff54f9f', 'sec':3, 'channel':1, 'rssi':-86}
2022-05-21 10:27:04: {'ssid':'P613', 'bssid':'e58a21cb0581ec680934f569d0abe11b9a87ffb4c8fa1d0f81dbe2702e5fdf87', 'sec':3, 'channel':4, 'rssi':-86}
2022-05-21 10:27:06: {'ssid':'P620', 'bssid':'4b79f80f70f5a1a311207dba58311ab5f8cecf7325a7d5a9d33aeb75a0de23f5', 'sec':3, 'channel':6, 'rssi':-68}
2022-05-21 10:27:06: {'ssid':'P628', 'bssid':'2e54e9cb403dac610a27f7d6fd674bf9a7876d8f3e6b5b84e0ed9cb0380a562c', 'sec':4, 'channel':6, 'rssi':-69}
2022-05-21 10:27:06: {'ssid':'P67', 'bssid':'46855325792676cdde4939f086fc0ac008fac09d4a6e61b2bcc055fbd9d372d5', 'sec':0, 'channel':13, 'rssi':-72}
2022-05-21 10:27:06: {'ssid':'P66', 'bssid':'2a671ad49e6e7152cc82c61857700d2e997f198b15ebded01f69f71736c2a06c', 'sec':3, 'channel':13, 'rssi':-73}
2022-05-21 10:27:06: {'ssid':'P63', 'bssid':'d83c430665271fcc02e67e6beac22cb7760e9f211f2518819ed7eed44ce9d316', 'sec':3, 'channel':5, 'rssi':-74}
2022-05-21 10:27:06: {'ssid':'P67', 'bssid':'661be8fb21873d3185eb4f4320d25b613e6fd633cf88673f8231e9c31757898c', 'sec':0, 'channel':5, 'rssi':-77}
2022-05-21 10:27:06: {'ssid':'P63', 'bssid':'46e8a11f21617b51d9d75a495992bc6e1d1ad7e492f315b407418b8d946e61f5', 'sec':3, 'channel':13, 'rssi':-82}
2022-05-21 10:27:06: {'ssid':'P61', 'bssid':'7994e1d55e270023b1edd16e8675b8d5e5119c564d78cc2df6d90de2db9014d8', 'sec':0, 'channel':9, 'rssi':-88}
2022-05-21 10:27:06: {'ssid':'P621_RFID', 'bssid':'3ec662f8ee62f83a1818f1160afef0421be247df36b3713ad5d479772084d798', 'sec':5, 'channel':9, 'rssi':-88}
2022-05-21 10:27:08: {'ssid':'P628', 'bssid':'2e54e9cb403dac610a27f7d6fd674bf9a7876d8f3e6b5b84e0ed9cb0380a562c', 'sec':4, 'channel':6, 'rssi':-67}
2022-05-21 10:27:08: {'ssid':'P620', 'bssid':'4b79f80f70f5a1a311207dba58311ab5f8cecf7325a7d5a9d33aeb75a0de23f5', 'sec':3, 'channel':6, 'rssi':-73}
