Testing SD card write operations: 2022-06-25 14:23:00
2022-06-25 14:26:34: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:26:36: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:26:38: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:26:40: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:26:41: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:26:43: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:26:45: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-21}
2022-06-25 14:26:45: {'ssid':'freeboxbenetalex', 'bssid':b'p\xfc\x8f\xf8up', 'sec':3, 'channel':11, 'rssi':-80}
2022-06-25 14:26:45: {'ssid':'freeboxbenetalex', 'bssid':b'\x8c\x97\xea\xaa\xf5\x90', 'sec':3, 'channel':11, 'rssi':-86}
2022-06-25 14:26:45: {'ssid':'FreeWifi_secure', 'bssid':b'p\xfc\x8f\xe5\x14\x1a', 'sec':5, 'channel':11, 'rssi':-94}
2022-06-25 14:26:47: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-21}
2022-06-25 14:26:47: {'ssid':'Freebox', 'bssid':b'\xe4\x9e\x12\x0cv\xc9', 'sec':3, 'channel':7, 'rssi':-72}
2022-06-25 14:26:47: {'ssid':'Freebox-ABAF80', 'bssid':b'p\xfc\x8f\xe5\x14\x18', 'sec':3, 'channel':11, 'rssi':-87}
2022-06-25 14:26:49: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-25 14:26:51: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-25 14:26:53: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-21}
2022-06-25 14:26:53: {'ssid':'Livebox-7030', 'bssid':b'\x08\x87\xc6\xd0p0', 'sec':3, 'channel':1, 'rssi':-76}
2022-06-25 14:26:53: {'ssid':'Livebox-6A40', 'bssid':b'$\x7f \x17j@', 'sec':3, 'channel':1, 'rssi':-89}
2022-06-25 14:26:54: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:26:56: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:26:56: {'ssid':'SFR_24E0', 'bssid':b'\xe4]Q\xf5$\xe6', 'sec':4, 'channel':11, 'rssi':-86}
2022-06-25 14:26:58: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-21}
2022-06-25 14:26:58: {'ssid':'FreeWifi_secure', 'bssid':b'p\xfc\x8f5\xb2\xc3', 'sec':5, 'channel':10, 'rssi':-77}
2022-06-25 14:27:00: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:27:00: {'ssid':'freebox_deleporte', 'bssid':b'h\xa3x\x81X\x0b', 'sec':4, 'channel':11, 'rssi':-76}
2022-06-25 14:27:00: {'ssid':'Livebox-CBF0', 'bssid':b'D\xa6\x1e\xe7\xcb\xf0', 'sec':3, 'channel':6, 'rssi':-88}
2022-06-25 14:27:00: {'ssid':'Salon.b', 'bssid':b'\xfa\x8f\xca\x95A\xf1', 'sec':0, 'channel':6, 'rssi':-92}
2022-06-25 14:27:02: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:27:04: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:27:04: {'ssid':'Salon.b', 'bssid':b'\xfa\x8f\xca\x95A\xf1', 'sec':0, 'channel':6, 'rssi':-76}
2022-06-25 14:27:04: {'ssid':'Livebox-9CDA', 'bssid':b'h\x15\x907\x9c\xda', 'sec':4, 'channel':1, 'rssi':-77}
2022-06-25 14:27:04: {'ssid':'Livebox-CBF0', 'bssid':b'D\xa6\x1e\xe7\xcb\xf0', 'sec':3, 'channel':6, 'rssi':-90}
2022-06-25 14:27:04: {'ssid':'FreeWifi_secure', 'bssid':b'p\xfc\x8fG\xb4D', 'sec':5, 'channel':6, 'rssi':-90}
2022-06-25 14:27:06: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-25 14:27:06: {'ssid':'Big Blue Box', 'bssid':b'\xcc\xf4\x11&\xb6W', 'sec':3, 'channel':1, 'rssi':-79}
2022-06-25 14:27:06: {'ssid':'SFR_9040', 'bssid':b'\xcc-\x1bf\x90F', 'sec':4, 'channel':1, 'rssi':-80}
2022-06-25 14:27:06: {'ssid':'SFR WiFi Mobile', 'bssid':b'j-\x1bf\x90E', 'sec':5, 'channel':1, 'rssi':-81}
2022-06-25 14:27:06: {'ssid':'SFR WiFi FON', 'bssid':b'j-\x1bf\x90G', 'sec':0, 'channel':1, 'rssi':-81}
2022-06-25 14:27:06: {'ssid':'Salon.b', 'bssid':b'\xfa\x8f\xca\x95A\xf1', 'sec':0, 'channel':6, 'rssi':-84}
2022-06-25 14:27:06: {'ssid':'Big Blue Box', 'bssid':b'\xcc\xf4\x119m\x87', 'sec':3, 'channel':11, 'rssi':-87}
2022-06-25 14:27:06: {'ssid':'Big Blue Box', 'bssid':b'\xf0r\xea%Pb', 'sec':3, 'channel':6, 'rssi':-95}
