Testing SD card write operations: 2022-06-27 09:35:23
2022-06-27 09:37:04: {'Acceleration': '(-0.5773926, 0.01745605, 0.9986572)', 'Roll': '30.03516', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-1.133149'}
2022-06-27 09:37:05: {'Acceleration': '(-0.02648926, -0.09960938, 0.9555664)', 'Roll': '1.58789', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '5.948817'}
2022-06-27 09:37:06: {'Acceleration': '(-0.1274414, -0.1280518, 0.9761963)', 'Roll': '7.43784', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.410883'}
2022-06-27 09:37:06: {'Acceleration': '(-0.1280518, -0.1326904, 0.9622803)', 'Roll': '7.043597', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.792579'}
2022-06-27 09:37:07: {'Acceleration': '(-0.1257324, -0.1373291, 0.9925537)', 'Roll': '7.219528', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.815717'}
2022-06-27 09:37:08: {'Acceleration': '(-0.09509277, -0.3273926, 1.324463)', 'Roll': '6.508018', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '2.929801'}
2022-06-27 09:37:09: {'Acceleration': '(-0.1394043, -0.1191406, 0.989624)', 'Roll': '8.018264', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.455937'}
2022-06-27 09:37:10: {'Acceleration': '(-0.1328125, -0.09301758, 1.00708)', 'Roll': '8.513099', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.573526'}
2022-06-27 09:37:11: {'Acceleration': '(-0.1352539, -0.1219482, 0.979126)', 'Roll': '7.864914', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '8.114612'}
2022-06-27 09:37:12: {'Acceleration': '(-0.1173096, -0.1247559, 0.946167)', 'Roll': '7.067692', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '6.849323'}
2022-06-27 09:37:12: {'Acceleration': '(-0.125, -0.1333008, 0.9793701)', 'Roll': '7.273509', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '8.130328'}
2022-06-27 09:37:13: {'Acceleration': '(-0.1212158, -0.1282959, 0.9388428)', 'Roll': '7.35687', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.718172'}
2022-06-27 09:37:14: {'Acceleration': '(-0.1181641, -0.1223145, 0.9506836)', 'Roll': '7.085172', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.275989'}
2022-06-27 09:37:15: {'Acceleration': '(-0.109375, -0.1434326, 1.005493)', 'Roll': '6.208081', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.071437'}
2022-06-27 09:37:16: {'Acceleration': '(-0.1077881, -0.1381836, 1.004272)', 'Roll': '6.064104', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.791159'}
