Testing SD card write operations: 2022-06-27 09:35:17
2022-06-27 09:36:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1baad3db119003aa8c1618fea4bd0e3b1766647414b8441b7fce63e14104b5d7', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:11: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:36:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f4b42cabe0b47e881b87e20d32a5c3287e8a16576b30e8af762e44576e0733e4', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 09:36:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1450d30866759ec26a644b2b7ad3ac2a16a13cf643ac3cdd068474707a6b42f8', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '96704e8ab06f7e268fee8bbd464a9c57c9be65d5d016a7e39c40c61bd893da08', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-06-27 09:36:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1baad3db119003aa8c1618fea4bd0e3b1766647414b8441b7fce63e14104b5d7', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1450d30866759ec26a644b2b7ad3ac2a16a13cf643ac3cdd068474707a6b42f8', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:19: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:36:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1baad3db119003aa8c1618fea4bd0e3b1766647414b8441b7fce63e14104b5d7', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1baad3db119003aa8c1618fea4bd0e3b1766647414b8441b7fce63e14104b5d7', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
