Testing SD card write operations 120: 2023-01-29 12:56:16
2023-01-29 12:56:34: {'ssid':'H1111', 'bssid':'3da366d789a27241e56057b423b3d81ab67ecf9121a8d0442c1dd2a6d14dbb2e', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-29 12:56:34: {'ssid':'H1125', 'bssid':'57f73dc91160f832e0345677936d6e0d5ad1d156ed77c94e95557d105e5a947d', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-29 12:56:34: {'ssid':'H1136', 'bssid':'aa7bfda6f42aa0fbbf3acc84893acaa2313c6d9f489d4a7459c2fc4cac7dd37e', 'sec':3, 'channel':1, 'rssi':-92}
2023-01-29 12:56:34: {'ssid':'H1115', 'bssid':'2adf8864ba8d2db443b190ffce3abc0e7a0f9d1b11bd892895333cf6835e1a60', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-29 12:56:34: {'ssid':'H1121', 'bssid':'0f2a40a85794749086c3c50124bf402bb3b3155648458d33dc9f346e3ba79991', 'sec':4, 'channel':6, 'rssi':-92}
2023-01-29 12:56:34: {'ssid':'H1115', 'bssid':'562e65ca81357735dca189151680b7dee766ad2337d63246d7a3f878ea5be72b', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-29 12:56:34: {'ssid':'H1124', 'bssid':'1d7aec9d81d261353fa9fe04bc0876c7d71bc97f7f2c54c7e9ad196147f01a5f', 'sec':3, 'channel':11, 'rssi':-92}
2023-01-29 12:56:34: {'ssid':'H1122', 'bssid':'2a03c83c7f80ebef26378cd739ed42de9ec91018f389bedfcb79fcb3fbb395fd', 'sec':3, 'channel':11, 'rssi':-92}
2023-01-29 12:56:34: {'ssid':'H1126', 'bssid':'ff3ab91c9a12eb38820436ab72ce6563ccbec4c855f64d59a6a45b27a570615c', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-29 12:56:34: {'ssid':'H1116', 'bssid':'41135251bac96d0213ea87b2d3d67188cd15d270a79494fe1690a610a3edefe5', 'sec':3, 'channel':6, 'rssi':-93}
