Testing SD card write operations: 2022-05-28 17:25:58
2022-05-28 17:27:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:27:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:27:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:27:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:27:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '61b6cd90053a9845edb65c131f4244e78db5fc541138fa80eb407044', 'rssi': -44, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 17:27:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:27:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:27:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -46, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:27:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:27:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
