Testing SD card write operations: 2022-06-06 10:54:36
2022-06-06 11:00:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ac0df14e2d854a2a7320f48d2102660bc3b6cdf625dc04026ccc200270982c1b', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-06 11:00:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '614d495e634bc30c5c00b2c6c4946ddc52f5fe84293b5736dc96d83307565af5', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:00:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86ccc2b51a47f154a679403dc5586fa116eec0ec3ebb405381cf7b17727de1d6', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-06 11:00:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86ccc2b51a47f154a679403dc5586fa116eec0ec3ebb405381cf7b17727de1d6', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-06 11:01:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '614d495e634bc30c5c00b2c6c4946ddc52f5fe84293b5736dc96d83307565af5', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '15f8443f69f834cffa13d3380880c96f1d98325ffc8e5ba4762843e262a42252', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e68d78cff65a6aa64b895d5ef4fd02ba4a71b328daa0d90bd9bac47b655919f6', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-06 11:01:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e68d78cff65a6aa64b895d5ef4fd02ba4a71b328daa0d90bd9bac47b655919f6', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-06 11:01:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e68d78cff65a6aa64b895d5ef4fd02ba4a71b328daa0d90bd9bac47b655919f6', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-06 11:01:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '830526142f60fea20c7bafb232f55c870b8830692ad0804db26d349320426b73', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-06 11:01:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86ccc2b51a47f154a679403dc5586fa116eec0ec3ebb405381cf7b17727de1d6', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
