Testing SD card write operations: 2022-09-11 16:46:45
2022-09-11 16:50:55: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-30}
2022-09-11 16:50:57: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:59: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:00: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:02: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-18}
2022-09-11 16:51:04: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:06: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:08: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:10: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:12: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:13: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:15: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:17: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:51:19: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
