Testing SD card write operations: 2022-09-11 16:47:24
2022-09-11 16:49:13: {'Acceleration': '(0.005126953, -0.5605469, 0.8319092)', 'Roll': '-0.3531023', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.62246'}
2022-09-11 16:49:14: {'Acceleration': '(0.02246094, -0.5322266, 0.8555908)', 'Roll': '-1.503781', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '31.87513'}
2022-09-11 16:49:14: {'Acceleration': '(-0.03308105, -0.5921631, 0.8212891)', 'Roll': '2.306594', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '35.7702'}
2022-09-11 16:49:15: {'Acceleration': '(-0.02453613, -0.5916748, 0.8216553)', 'Roll': '1.710449', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '35.70709'}
2022-09-11 16:49:16: {'Acceleration': '(-0.01220703, -0.5794678, 0.833252)', 'Roll': '0.8393155', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '34.813'}
2022-09-11 16:49:17: {'Acceleration': '(0.03881836, -0.5301514, 0.8543701)', 'Roll': '-2.503408', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '31.79581'}
2022-09-11 16:49:18: {'Acceleration': '(0.08666992, -0.503418, 0.8452148)', 'Roll': '-5.854754', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '30.92387'}
2022-09-11 16:49:19: {'Acceleration': '(0.03613281, -0.5187988, 0.8737793)', 'Roll': '-2.367965', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '30.67787'}
2022-09-11 16:49:20: {'Acceleration': '(0.02770996, -0.5412598, 0.8580322)', 'Roll': '-1.849712', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '32.23088'}
2022-09-11 16:49:21: {'Acceleration': '(0.02929688, -0.5393066, 0.8522949)', 'Roll': '-1.968716', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '32.20311'}
2022-09-11 16:49:21: {'Acceleration': '(0.02807617, -0.5402832, 0.8520508)', 'Roll': '-1.263126', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '32.41945'}
2022-09-11 16:49:22: {'Acceleration': '(0.02734375, -0.5389404, 0.8555908)', 'Roll': '-1.830488', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '32.17855'}
2022-09-11 16:49:23: {'Acceleration': '(0.02001953, -0.5366211, 0.8549805)', 'Roll': '-1.341346', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '32.10701'}
