Testing SD card write operations: 2022-07-08 06:08:26
2022-07-08 06:09:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dca8ab82f8d8', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dca8ab82f8d8', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ee661629a16', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 06:10:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dca8ab82f8d8', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:10:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
