Testing SD card write operations: 2022-05-22 10:49:13
2022-05-22 10:50:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4b4147a9ac1b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-22 10:50:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'62ba1db87449', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4b4147a9ac1b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-22 10:50:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f15a71781f84', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e076ed7e8f50', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'47e1896fb69e', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-22 10:50:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'77b949d0b636', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-22 10:50:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f15a71781f84', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f726966a24d6', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'c0288d505755', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7fca750f54f7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-22 10:50:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:38: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'c0288df7531e', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'62ba1db87449', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e076ed7e8f50', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
