Testing SD card write operations: 2022-07-03 15:18:18
2022-07-03 15:19:56: {'Acceleration': '(-0.3031006, -0.2133789, 0.9637451)', 'Roll': '17.45851', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.92598'}
2022-07-03 15:19:57: {'Acceleration': '(-0.3000488, -0.1973877, 0.946167)', 'Roll': '17.59488', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.84114'}
2022-07-03 15:19:58: {'Acceleration': '(-0.2918701, -0.2034912, 0.9714355)', 'Roll': '16.72302', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.34383'}
2022-07-03 15:19:59: {'Acceleration': '(-0.2990723, -0.1800537, 0.9277344)', 'Roll': '17.86768', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.12135'}
2022-07-03 15:20:00: {'Acceleration': '(-0.3045654, -0.1911621, 0.9537354)', 'Roll': '17.98563', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.19565'}
2022-07-03 15:20:01: {'Acceleration': '(-0.2993164, -0.2039795, 0.9576416)', 'Roll': '17.35693', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.34662'}
2022-07-03 15:20:01: {'Acceleration': '(-0.2943115, -0.1943359, 0.9475098)', 'Roll': '17.25562', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.08224'}
2022-07-03 15:20:02: {'Acceleration': '(-0.3153076, -0.1889648, 0.9321289)', 'Roll': '18.18321', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.02089'}
2022-07-03 15:20:03: {'Acceleration': '(-0.2908936, -0.1838379, 0.935791)', 'Roll': '17.26802', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.62503'}
2022-07-03 15:20:04: {'Acceleration': '(-0.3005371, -0.194458, 0.9406738)', 'Roll': '17.71823', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.15582'}
2022-07-03 15:20:05: {'Acceleration': '(-0.2991943, -0.184082, 0.9464111)', 'Roll': '17.5436', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '10.50662'}
2022-07-03 15:20:06: {'Acceleration': '(-0.3007813, -0.1915283, 0.9523926)', 'Roll': '17.52697', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.92428'}
2022-07-03 15:20:07: {'Acceleration': '(-0.302124, -0.185791, 0.9680176)', 'Roll': '16.70773', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.69401'}
