Testing SD card write operations: 2022-07-03 15:16:38
2022-07-03 15:18:42: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-77}
2022-07-03 15:18:44: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-03 15:18:44: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-76}
2022-07-03 15:18:46: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-03 15:18:46: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-81}
2022-07-03 15:18:48: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-03 15:18:48: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:18:50: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-03 15:18:50: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-87}
2022-07-03 15:18:52: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-03 15:18:52: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-82}
2022-07-03 15:18:54: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-03 15:18:54: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-03 15:18:54: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-80}
2022-07-03 15:18:55: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-03 15:18:57: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-03 15:18:57: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:18:57: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-84}
2022-07-03 15:18:59: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-03 15:18:59: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-03 15:18:59: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:19:01: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-03 15:19:01: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-78}
2022-07-03 15:19:03: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-78}
2022-07-03 15:19:03: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-85}
