Testing SD card write operations: 2022-07-03 15:16:38
2022-07-03 15:17:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aec324f7a118a668f1fb8415ac54c20e5b5644fdf0fbf230a8565ac0', 'rssi': -72, 'name': 'Tb80', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2612f951c4c900b7b738a1f686c56bc3e24a5858ef603ff556e02c50', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ff56d5984656cc52021fd53fdb6f178f385c48790da7b89c4c1c3572', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 15:17:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f162b24859c915515b0e34b52dac39955efe8e3dca253135e0b6b6f5', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f27a93c099de49db69dba3846a8882894123b1e969c09803c4ee9b4b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c0f35f5a3952f1fba2daae4fd5dcafc537cf54362644534eeb91c3d7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-07-03 15:17:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ca329146901ed2e7a7939f0e38d8bde00ac21950e44f369345a0f68a', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6b43a7a0d519108b9fd51ec3479194037f23a94b73c690d000ac5da1', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8bc59fd48b4c8862d6c7f679284717cc0d3d0a7df8bb83206f695a10', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c0f35f5a3952f1fba2daae4fd5dcafc537cf54362644534eeb91c3d7', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-07-03 15:17:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '476fe453e5213a64e14fe8179c6824d4ccca6f4893562613fa92b75e', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a5a6d48b7f6d4ad4e41cc17333bfa90cfbc43e4a6906643af9d26c4a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bd2949e0864c7e9e42e72d01694bc75c49cf148b4edc916361c061c0', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
