Testing SD card write operations: 2022-09-11 17:00:49
2022-09-11 17:02:11: {'Acceleration': '(-0.09484863, -0.1337891, 1.000122)', 'Roll': '6.99329', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.563352'}
2022-09-11 17:02:12: {'Acceleration': '(-0.1417236, -0.1226807, 1.003662)', 'Roll': '7.570843', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.73639'}
2022-09-11 17:02:13: {'Acceleration': '(-0.1304932, -0.1397705, 0.9887695)', 'Roll': '7.518179', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.977636'}
2022-09-11 17:02:13: {'Acceleration': '(-0.1668701, -0.227417, 0.9825439)', 'Roll': '13.00032', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.622545'}
2022-09-11 17:02:14: {'Acceleration': '(-0.1568604, -0.1541748, 0.9083252)', 'Roll': '8.538294', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.328681'}
2022-09-11 17:02:15: {'Acceleration': '(-0.1729736, -0.1311035, 1.028809)', 'Roll': '9.543881', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.16273'}
2022-09-11 17:02:16: {'Acceleration': '(-0.1488037, -0.1971436, 0.9429932)', 'Roll': '8.238689', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.99802'}
2022-09-11 17:02:17: {'Acceleration': '(-0.1307373, -0.1972656, 0.9593506)', 'Roll': '7.760285', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.72264'}
2022-09-11 17:02:18: {'Acceleration': '(-0.07885742, -0.2408447, 0.9938965)', 'Roll': '4.53644', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.58047'}
2022-09-11 17:02:19: {'Acceleration': '(-0.09008789, -0.1867676, 1.144043)', 'Roll': '4.502476', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.2209'}
2022-09-11 17:02:19: {'Acceleration': '(-0.08508301, -0.2358398, 1.272583)', 'Roll': '3.825018', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '14.03112'}
2022-09-11 17:02:20: {'Acceleration': '(-0.05249023, -0.3043213, 0.9411621)', 'Roll': '2.999526', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '17.89544'}
2022-09-11 17:02:21: {'Acceleration': '(-0.002197266, -0.2521973, 0.8890381)', 'Roll': '0.1416067', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '16.57757'}
2022-09-11 17:02:22: {'Acceleration': '(-0.03173828, -0.1999512, 1.031128)', 'Roll': '1.763016', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '14.93665'}
