Testing SD card write operations: 2022-09-11 17:00:44
2022-09-11 17:01:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '75cbf9434c3819c23f8b2bc54dcbba6ee03d727c9ad08e8ed84bf55462b9059b', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-09-11 17:01:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '75cbf9434c3819c23f8b2bc54dcbba6ee03d727c9ad08e8ed84bf55462b9059b', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-09-11 17:01:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '75cbf9434c3819c23f8b2bc54dcbba6ee03d727c9ad08e8ed84bf55462b9059b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-09-11 17:01:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '122f9ac961f00b2292e1018ba8fb92ba4f50467bb9314d11267c7b3fd0050899', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:01:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '122f9ac961f00b2292e1018ba8fb92ba4f50467bb9314d11267c7b3fd0050899', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:01:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '122f9ac961f00b2292e1018ba8fb92ba4f50467bb9314d11267c7b3fd0050899', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:01:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '75cbf9434c3819c23f8b2bc54dcbba6ee03d727c9ad08e8ed84bf55462b9059b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-09-11 17:01:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '122f9ac961f00b2292e1018ba8fb92ba4f50467bb9314d11267c7b3fd0050899', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
