Testing SD card write operations: 2022-09-14 09:38:06
2022-09-14 09:39:53: {'Acceleration': '(-0.1552734, 0.02294922, 1.001953)', 'Roll': '8.809097', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.296629'}
2022-09-14 09:39:54: {'Acceleration': '(-0.1547852, 0.02148438, 0.998291)', 'Roll': '8.813538', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.218328'}
2022-09-14 09:39:55: {'Acceleration': '(-0.1564941, 0.02233887, 1.005249)', 'Roll': '8.848607', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.257884'}
2022-09-14 09:39:55: {'Acceleration': '(-0.1502686, 0.02075195, 1.007446)', 'Roll': '8.483571', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.167136'}
2022-09-14 09:39:56: {'Acceleration': '(-0.1542969, 0.02148438, 1.003296)', 'Roll': '8.743018', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.212482'}
2022-09-14 09:39:57: {'Acceleration': '(-0.1512451, 0.02294922, 1.003174)', 'Roll': '8.532802', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.276462'}
2022-09-14 09:39:58: {'Acceleration': '(-0.1551514, 0.0234375, 1.00708)', 'Roll': '8.538874', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-1.236612'}
2022-09-14 09:39:59: {'Acceleration': '(-0.1523438, 0.02062988, 1.011841)', 'Roll': '8.607207', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.037391'}
2022-09-14 09:40:00: {'Acceleration': '(-0.1544189, 0.02209473, 1.005493)', 'Roll': '8.67663', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.161935'}
2022-09-14 09:40:01: {'Acceleration': '(-0.1542969, 0.02026367, 1.005859)', 'Roll': '8.564764', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.141237'}
